,equity,duration,credit,commodity,usd
SPY,1.0,0.0,0.0,0.0,0.0
QQQ,1.1,0.0,0.0,0.0,0.0
IWM,1.1,0.0,0.0,0.0,0.0
EFA,0.9,0.0,0.0,0.0,-0.3
EEM,1.0,0.0,0.0,0.0,-0.3
VNQ,0.7,0.0,0.0,0.0,0.0
SHY,0.0,1.0,0.0,0.0,0.0
IEF,0.0,4.0,0.0,0.0,0.0
TLT,0.0,15.0,0.0,0.0,0.0
TIP,0.0,7.0,0.0,0.0,0.0
LQD,0.1,8.0,0.4,0.0,0.0
HYG,0.4,3.0,1.0,0.0,0.0
GLD,0.0,0.0,0.0,0.3,-0.3
SLV,0.0,0.0,0.0,0.5,-0.3
DBC,0.0,0.0,0.0,1.0,-0.3
USO,0.0,0.0,0.0,1.2,-0.3
UNG,0.0,0.0,0.0,1.5,-0.3
DBA,0.0,0.0,0.0,0.8,-0.3
UUP,0.0,0.0,0.0,0.0,1.0
