session,eligible_assets,gross,net,turnover,expected_return,variance,objective,max_factor_exposure,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2008-01-08,16,0.24580371361417602,4.568827954853916e-15,0.24580371361417602,0.00010818088071092193,6.43265321661215e-07,3.111791444424352e-05,1.6023571153882825e-15,-1.5584137220016086e-16,-1.6023571153882825e-15,-3.3800738960833374e-17,7.089937468774109e-17,-5.1054231645113915e-17
2008-01-15,16,0.4280638829888489,1.218415559417485e-14,0.18241286908009732,0.00019470996987360148,2.180095069282092e-06,0.00010549310499105937,6.843902677033255e-15,1.688241693488362e-15,6.843902677033255e-15,7.955799958877415e-17,1.0803873853816379e-16,-1.6007914110672628e-16
2008-01-23,16,0.4319925274458129,2.6156377411212794e-17,0.0032543931768342057,0.00019766466596387393,2.4358892240552013e-06,0.00014340870563976941,3.820975135344281e-17,3.820975135344281e-17,2.190532620811883e-17,-2.9251247037550414e-19,-1.7861583289327224e-17,7.257540167667711e-18
2008-01-30,16,0.4324795109257085,-2.7050844203513336e-17,0.0023381832499873353,0.00019914102953195754,2.529584903476767e-06,0.00014455380001880704,1.0494593234230904e-16,2.6292779268331036e-17,-1.0494593234230904e-16,6.507632012056925e-19,8.729067836463162e-18,-3.7130823537741395e-18
2008-02-06,16,0.43300494636555564,1.3075478200175183e-16,0.0010012936420576133,0.0001629499057595947,2.5837927897305068e-06,0.00010830937555618637,9.031863779453e-17,6.229387878852035e-17,-9.031863779453e-17,3.1168514045714514e-18,1.9978512252348277e-17,-4.519246000473232e-18
2008-02-13,16,0.43355341026406025,-2.867714746224159e-17,0.0022550656424283025,0.00017049866996685139,2.699852681600764e-06,0.00011497369476371318,1.9524713618448706e-16,6.696881968476758e-18,-1.9524713618448706e-16,-4.905131076489293e-18,-1.1222018209540307e-17,7.602836303475766e-18
2008-02-21,16,0.43375026419803625,-1.6886448836461732e-16,0.001977108725777433,0.00014464558057003982,2.7722309561149313e-06,8.879575760921277e-05,3.4867497467301607e-16,-9.030629755493406e-18,-3.4867497467301607e-16,-2.515126840250261e-18,3.3209511389018416e-18,4.638497915580795e-18
2008-02-28,16,0.4390935204647679,2.4936649967166602e-18,0.003019495969038739,0.00016456959257781775,2.9517258895101665e-06,0.00010710065946663863,9.51483463952024e-17,-4.597384709151836e-18,9.51483463952024e-17,-9.980841297493976e-20,-4.7933763060184025e-18,9.971653227785458e-19
2008-03-06,17,0.40710281629448974,2.1267709815475655e-15,0.04937714901876713,0.00017907162889869928,2.607887476337835e-06,0.0001170249990191792,6.126413519902858e-16,-1.0741535788971562e-16,6.126413519902858e-16,2.9070816471135163e-17,7.09832824172949e-18,1.8735013540549517e-16
2008-03-13,17,0.406770754516525,7.919012667834124e-16,0.011583216435324475,0.0001726849218651386,2.683052244916156e-06,0.00011793621130645475,1.4780681297386765e-15,9.59161144983558e-17,1.4780681297386765e-15,1.0412527266182688e-17,2.5504722236891326e-17,3.382710778154774e-17
2008-03-20,17,0.4060557924115951,2.8189256484623115e-16,0.0034485323552201365,0.00018075915383003937,2.816236033612912e-06,0.0001270493833098444,4.665184037436867e-16,1.0259525649643075e-17,4.665184037436867e-16,4.937851341830181e-18,3.0358023702965346e-17,5.204170427930421e-18
2008-03-28,17,0.40547212124739057,4.414871246360974e-16,0.00164922261230287,0.00016773605053901292,2.9542464125124937e-06,0.00011375309418241369,4.313113026681654e-17,4.000968077519432e-17,-4.313113026681654e-17,-4.4116970321106765e-18,1.1102968739116284e-17,1.9081958235744878e-17
2008-04-04,17,0.4047702939510054,1.7121720707891086e-15,0.005512100256515884,0.00015561318622991135,3.0411033925571567e-06,0.00010048804705649006,2.0420796434436628e-16,1.1091936320466513e-16,-2.0420796434436628e-16,-1.0904287607609037e-17,5.72163482883645e-17,1.1102230246251565e-16
2008-04-11,18,0.4118593612503761,1.0902737046514233e-15,0.027691706905574917,0.0001378730744145482,3.012167068806015e-06,7.77258301066521e-05,1.003537530852583e-15,1.7227221791676484e-16,1.003537530852583e-15,6.071532165918825e-17,2.2749460632566238e-17,6.765421556309548e-17
2008-04-18,19,0.4496875033410875,2.1961599205866378e-15,0.08575588269056887,0.00018210151901482252,2.9867113628957933e-06,0.00010656464431270512,2.8709673527416157e-15,1.2497937501282533e-16,2.8709673527416157e-15,2.237793284010081e-16,1.6723681894369118e-17,1.5439038936193583e-16
2008-04-25,19,0.44756219932514313,9.020562075079397e-17,0.0031429111714064094,0.0002002847171043103,2.9549958185542577e-06,0.0001419628216952516,6.591949208711867e-17,1.120266299382314e-18,6.591949208711867e-17,-1.734723475976807e-18,2.1406176394479293e-17,-5.204170427930421e-18
2008-05-02,19,0.4713420116415817,6.895525817007808e-15,0.07218361647614492,0.00021898331148872583,3.442051482131949e-06,0.00014190244582570804,7.483597075363946e-15,8.484743347292877e-17,7.483597075363946e-15,3.608224830031759e-16,2.08751495879742e-17,2.2898349882893854e-16
2008-05-09,19,0.473742870703842,-5.568462357885551e-16,0.0036682969952298887,0.00021520020793540162,3.4873197028448274e-06,0.00015160027873054683,1.2628786905111156e-15,-8.290315951453322e-17,-1.2628786905111156e-15,-6.591949208711867e-17,-8.565057893384603e-17,-1.9081958235744878e-17
2008-05-16,19,0.490187764272173,-3.3480163086352377e-15,0.05520896606696777,0.0001968653098194206,3.921072671448628e-06,0.00011906268290684077,8.264222639553509e-15,-6.651168798850256e-17,-8.264222639553509e-15,-5.204170427930421e-16,-6.082269987405185e-16,3.2959746043559335e-17
2008-05-23,19,0.49772915904700005,1.3298390166838203e-14,0.07687146089449122,0.0002729268342943702,4.6377899215438545e-06,0.00018640989567688803,1.8023776915399026e-14,1.931605980476289e-15,1.8023776915399026e-14,1.096345236817342e-15,4.2742998703205977e-16,1.0755285551056204e-15
2008-06-02,19,0.49498833572980966,-3.469446951953614e-18,0.004474261793991624,0.00028672924174447475,4.533799153749028e-06,0.0002156976287967801,3.469446951953614e-17,6.4037981299988645e-18,-3.469446951953614e-17,-6.938893903907228e-18,6.5720986539780835e-18,-3.469446951953614e-18
2008-06-09,19,0.45731025851591145,1.1518563880486e-15,0.06477653619230485,0.0002671120430798708,4.161011867582086e-06,0.00018921188482668604,6.245004513516506e-16,2.9985822065071344e-16,-6.245004513516506e-16,4.163336342344337e-17,2.2204334258881386e-17,4.163336342344337e-17
2008-06-16,19,0.5117446048774088,-9.367506770274758e-16,0.2493118119566365,0.00030231438096178776,5.722253622053335e-06,0.00017334991212492062,6.591949208711867e-17,5.6040158003830916e-18,-6.591949208711867e-17,5.551115123125783e-17,-3.9367921072905846e-17,1.3877787807814457e-17
2008-06-23,19,0.5099045116107217,7.979727989493313e-17,0.0037674573441486255,0.0002156700708063488,5.693351932966207e-06,0.0001375525368531137,2.671474153004283e-16,1.8532567696194763e-17,2.671474153004283e-16,1.734723475976807e-18,-3.5550629485273476e-17,1.3877787807814457e-17
2008-06-30,19,0.5043096512183045,-6.973588373426765e-16,0.029951948094301215,0.0002540405307765945,5.700146627731472e-06,0.0001711255354969072,1.0685896612017132e-15,6.380467721878778e-18,-1.0685896612017132e-15,-7.28583859910259e-17,-4.42144380582317e-17,-5.551115123125783e-17
2008-07-08,19,0.49143541379983174,1.491862189340054e-16,0.04426444422490053,0.0002308402062012046,5.676584341862314e-06,0.0001463634163151706,9.280770596475918e-16,-3.363927694338565e-17,-9.280770596475918e-16,-2.1846673775582914e-17,-8.447117231059671e-18,3.122502256758253e-17
2008-07-15,19,0.5008722653274549,-2.706168622523819e-16,0.06672763294432449,0.0002048543270093102,5.173603433097972e-06,0.00011741440032071168,7.858297346174936e-16,-3.981022836847117e-18,7.858297346174936e-16,-1.734723475976807e-18,-1.284286815613845e-17,-3.469446951953614e-18
2008-07-22,19,0.5042044985160878,6.002143226879753e-16,0.013251485690735037,0.00019951946836840992,4.927813411978436e-06,0.00012386688986175816,4.978656376053436e-16,2.0506401891490047e-17,4.978656376053436e-16,2.949029909160572e-17,7.517470388299318e-19,4.5102810375396984e-17
2008-07-29,19,0.5084074081183011,3.469446951953614e-16,0.012834793476617177,0.00017187606741206687,4.7528474813296096e-06,9.6777759801579e-05,1.457167719820518e-16,1.3425625848129368e-17,1.457167719820518e-16,2.2551405187698492e-17,-1.4505860955473093e-17,3.122502256758253e-17
2008-08-05,19,0.5088299424439541,2.5673907444456745e-16,0.01308900415796352,0.00016821829652392258,4.601906126794294e-06,9.378344459091848e-05,5.898059818321144e-17,7.73192804988646e-18,-5.898059818321144e-17,5.204170427930421e-18,-2.3332569895446116e-18,2.7755575615628914e-17
2008-08-12,19,0.5089498521551966,1.3114509478384662e-15,0.029986922487107374,0.00015377462577415726,4.290676876472927e-06,7.746342451238014e-05,6.678685382510707e-16,7.112006213364718e-17,-6.678685382510707e-16,6.591949208711867e-17,3.896969652401675e-17,8.326672684688674e-17
2008-08-19,19,0.49521511324401324,-2.7929047963226594e-16,0.23653231014531698,0.00024741479095357846,3.0257094326618284e-06,0.0001362552282263195,1.514760539222948e-14,1.4518868070096902e-16,1.514760539222948e-14,3.677613769070831e-16,1.0500601415922366e-17,-1.0408340855860843e-17
2008-08-26,19,0.694365245259762,2.5344309984021152e-14,0.24531157564306696,0.00031929963072939075,6.062918203188808e-06,0.00017243868509452556,1.6688039838896884e-14,1.8900325748916204e-15,1.6688039838896884e-14,1.6583956430338276e-15,3.9128927888846656e-16,1.7104373473131318e-15
2008-09-03,19,0.691990859491379,1.6622120346809766e-14,0.07890997111556079,0.00032887531329958355,6.673489059031862e-06,0.00021319081137535138,8.618106228652778e-15,1.0788758775248653e-15,-8.618106228652778e-15,9.575673587391975e-16,2.8118210884712685e-16,1.3600232051658168e-15
2008-09-10,19,0.6851559951461635,-4.163336342344337e-17,0.007440591877819679,0.0003161353161392769,6.4126881222052305e-06,0.00021687691683503832,1.0408340855860843e-16,-1.6771790649133336e-17,-1.0408340855860843e-16,-2.7755575615628914e-17,2.6027820856429084e-18,3.469446951953614e-18
2008-09-17,19,0.6413728212575266,-3.469446951953614e-17,0.017610445017245676,0.00027725630415106114,9.020373408526666e-06,0.00016710915947385066,1.5673095578920047e-17,1.5673095578920047e-17,6.938893903907228e-18,0.0,9.221313082646678e-18,3.469446951953614e-18
2008-09-24,19,0.6555054294151785,-3.7816971776294395e-16,0.015874248908951956,0.0002839826174228592,1.2250540933296223e-05,0.00015665988222281256,3.3306690738754696e-16,-2.7317902876549504e-17,-3.3306690738754696e-16,-3.469446951953614e-17,6.093492953328334e-18,-2.0816681711721685e-17
2008-10-01,19,0.5299066824479717,8.222589276130066e-16,0.1678532402135669,0.00019991521040419802,1.2158673028428503e-05,5.2910883566343225e-05,2.796374243274613e-15,-2.45992046877509e-16,-2.796374243274613e-15,-4.163336342344337e-17,5.023082798815812e-18,-3.122502256758253e-17
