version,experiment,train_sharpe,development_sharpe,train_cagr,development_cagr,train_max_drawdown,development_max_drawdown,decision
v13,B00,-0.4436931747599796,-0.7146069414758534,-0.0065316440513799,-0.0073897140220191,-0.0827082091662519,-0.0427731461524678,REJECTED
v13,B01,0.4561917084999946,-0.9118204560525848,0.029131450537513,-0.0516883649460742,-0.110249998644385,-0.2006196408640027,REJECTED
v13,B02,0.6229061629571924,0.3473620449130546,0.0550800999216074,0.0240205936015369,-0.151383843950207,-0.1481691638633494,REJECTED
v13,B03,0.7261238108074328,0.6379380713571943,0.0678727448508524,0.0515688513923622,-0.1523430435157233,-0.1643319590806448,REJECTED
v14,R00,0.7261237235857818,0.6379378817968135,0.0678727219950603,0.0515688341667839,-0.1523430435157275,-0.1643319540250439,REJECTED
v14,R01,0.6565414801406653,0.4274825731408677,0.0569434110207287,0.0307079182663658,-0.1523430435145115,-0.1572717237950879,REJECTED
v15,T00,0.7261237235857818,0.6379378817968135,0.0678727219950603,0.0515688341667839,-0.1523430435157275,-0.1643319540250439,REJECTED
v15,T01,0.6883389766289247,0.5470639846447524,0.0668481774258966,0.0432903812512122,-0.1434163725125543,-0.1467898379411464,REJECTED
v16,E050,0.8648429649670105,0.4308713963597343,0.0847282765801111,0.033465545084242,-0.1424695297416047,-0.1516038349032049,REJECTED
v17,E050,0.7670094287498845,,0.0688098113323896,,-0.1669216552736109,,REJECTED_TRAIN
v18,E050_V09,0.8228183791700998,0.2117034201093036,0.0724571579431916,0.0141203677905736,-0.1363566914311014,-0.1292674105016994,REJECTED
