,sleeve
SPY,equity
QQQ,equity
IWM,equity
XLC,equity
XLY,equity
XLP,equity
XLE,equity
XLF,equity
XLV,equity
XLI,equity
XLB,equity
XLK,equity
XLU,equity
EFA,equity
EEM,equity
EWJ,equity
EWU,equity
EWZ,equity
FXI,equity
INDA,equity
VNQ,equity
BIL,rates
SHY,rates
IEF,rates
TLT,rates
TIP,rates
GOVT,rates
LQD,credit
HYG,credit
EMB,credit
MUB,credit
GLD,metals
SLV,metals
DBC,commodity
PDBC,commodity
USO,commodity
UNG,commodity
DBA,commodity
CPER,commodity
CORN,commodity
WEAT,commodity
UUP,usd
FXE,usd
FXY,usd
FXB,usd
