experiment,cross_sectional_weight,volatility_cap,train_qualified,status,reason,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_annual_turnover,train_annual_transaction_cost,train_annual_borrow_cost,train_maximum_abs_net,train_maximum_net_budget_ratio,train_maximum_factor_budget_ratio,train_maximum_sleeve_budget_ratio,train_average_gross,train_average_eligible_assets,train_worst_calendar_year_return,train_reason
E050_V09,0.5,0.09,True,COMPLETED,OK,2267.0,0.8762858976633385,0.07245715794319163,0.08994405774798565,0.8228183791700998,-0.1363566914311014,0.5319805910895457,COMPLETED,0.8704491912909569,0.07706441761785698,6.905920869237455,0.0014374573706202327,0.002850919906083708,0.6000000002116329,1.0000000003527216,1.0000000004158218,1.0000000005167322,0.9939326295015983,40.11920529801324,-0.004691375739634407,
E050_V08,0.5,0.08,True,COMPLETED,OK,2267.0,0.8065380342058464,0.06795058115996899,0.08581975585865634,0.809052096329084,-0.1273103652790084,0.5377150419056022,COMPLETED,0.8589365166962043,0.07253479905070703,6.915620351043635,0.0014384387564699713,0.00284637291184715,0.6000000002214052,1.0000000003690088,1.0000000006962824,1.0000000003320983,0.9940029140834591,40.11920529801324,-0.006107830468321862,
E025_V08,0.25,0.08,True,COMPLETED,OK,2267.0,0.7549882525621541,0.06451932955828377,0.08595235430532411,0.7704957447439332,-0.1287372472131677,0.5385972651080724,COMPLETED,0.819275545412986,0.06899204087401745,6.731198763785436,0.0013990294572760109,0.0027949283679921666,0.6000000004359577,1.0000000007265961,1.0000000003228757,1.0000000002104898,0.994064057193708,40.11920529801324,-0.02682582897505903,
E025_V09,0.25,0.09,True,COMPLETED,OK,2267.0,0.7786808929729143,0.06610732913940032,0.09057938322238082,0.7521053161963563,-0.13576223301011137,0.5350683722981915,COMPLETED,0.7987732141946134,0.07062424796016531,6.734008414484255,0.0013999978660911424,0.0028291426086032574,0.6000000003825474,1.000000000637579,1.0000000004516802,1.0000000003679475,0.9940818852027773,40.11920529801324,-0.02904135886800896,
E000_V08,0.0,0.08,True,COMPLETED,OK,2267.0,0.6616424152431402,0.058071419576223304,0.085863063982573,0.7004315884158431,-0.13608128676406583,0.5337450374944861,COMPLETED,0.7479449593813134,0.06239868685013383,6.374842392682129,0.001324400028282092,0.0027582498440377927,0.600000001067495,1.0000000017791584,1.0000000015008468,1.0000000002157174,0.9939298605283018,40.11920529801324,-0.03407571861120828,
E050_V10,0.5,0.1,False,COMPLETED,OK,2267.0,0.8196556164480886,0.06880981133238961,0.09233091074327512,0.7670094287498845,-0.1669216552736109,0.533303925893251,COMPLETED,0.8136320777752527,0.07342367729586385,6.959952586169856,0.0014490857412914895,0.0028600483415627477,0.6000000003206533,1.000000000534422,1.0000000004510892,1.000000000242419,0.9939358351206815,40.11920529801324,-0.012783179067507033,
E025_V10,0.25,0.1,False,COMPLETED,OK,2267.0,0.7365895713894599,0.06327295898009266,0.09367066219755689,0.7019080882106115,-0.16146907115645592,0.5355094838994265,COMPLETED,0.7473193526327057,0.06780641513373253,6.758958427605359,0.001405477232081606,0.002850399665118679,0.6000000003114624,1.000000000519104,1.00000000055964,1.0000000003623168,0.9940875527064159,40.11920529801324,-0.03378940755239768,
E000_V09,0.0,0.09,False,COMPLETED,OK,2267.0,0.6618946332233848,0.05808927101329964,0.090441172668269,0.6696290274710012,-0.13571384160900335,0.52977503308337,COMPLETED,0.71488492099939,0.06243012029251771,6.342305411499701,0.0013182486707440017,0.0027770581392715975,0.6000000007615451,1.000000001269242,1.0000000006318697,1.0000000002492841,0.994119024429388,40.11920529801324,-0.04639918242024277,
E000_V10,0.0,0.1,False,COMPLETED,OK,2267.0,0.5728155103917367,0.05162941859158354,0.0942357889871371,0.5813935664079881,-0.16891086916117592,0.529333921482135,COMPLETED,0.6253768987054455,0.055998049862233,6.432615998787337,0.0013371786308802314,0.002809412389313746,0.600000000651566,1.0000000010859433,1.0000000009458017,1.0000000002074805,0.9941643148610355,40.11920529801324,-0.05425355442421875,
E075_V08,0.75,0.08,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E075_V09,0.75,0.09,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E075_V10,0.75,0.1,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E100_V08,1.0,0.08,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E100_V09,1.0,0.09,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E100_V10,1.0,0.1,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
