symbol,security_id,sector,maximum_internal_missing_or_zero_run,excluded
GDDY,0099ffac-ca5b-4117-b050-5390af24619c,Information Technology,0,False
FAST,009c65c9-8abe-49b9-b481-dfeecb67d116,Industrials,0,False
MET,00e5cd6a-c370-4d72-86d2-fef5353aa17a,Financials,0,False
GE,0116ac5c-90bc-47a2-8bb4-0f4551521dc6,Industrials,0,False
NRG,0181e333-c29a-4f7f-94f4-64884b17934a,Utilities,0,False
TPL,02b051d5-7b50-4bb6-bad3-fa3087ced9af,Energy,0,False
NOC,02deac19-d59b-4b15-ae55-a375e182bffd,Industrials,0,False
HPE,03a4498a-78b3-4043-8dcb-2c3cf4dc352e,Information Technology,0,False
AMD,03fb07bb-5db1-4077-8dea-5d711b272625,Information Technology,0,False
CPT,0403279d-6ac7-47d1-9a60-fda5acaf2437,Real Estate,0,False
WDAY,04f7d8b3-3c40-4e19-ab08-aff850458676,Information Technology,0,False
EG,0501755f-b8e9-4846-97ff-abbb8c8e67fe,Financials,0,False
BAC,061588a3-d70b-4b9c-a3f6-636aaa16acc4,Financials,0,False
GS,064dd45f-7a58-452c-93f2-377f9a0cc7f2,Financials,0,False
CNP,0666dd39-e7df-4e09-90e6-bd1a2b42a3c1,Utilities,0,False
HLT,072e0811-8f84-4acc-bc3b-95761ea08dd6,Consumer Discretionary,0,False
PNC,07c40f17-3f00-4792-9262-9fc21c73e9b4,Financials,0,False
SYY,090b7913-4370-43eb-a42c-9af8400bc09d,Consumer Staples,0,False
FFIV,09192535-21d6-42cf-903d-4abd88f91cad,Information Technology,0,False
ABBV,09a51104-980a-47b6-ad4d-e4f04059be4a,Health Care,0,False
STE,0a0f4996-3d85-43da-8305-4d208a75d7b4,Health Care,0,False
SBUX,0a7deac5-2d75-4e54-9f66-51c1c6fad55b,Consumer Discretionary,0,False
OTIS,0af9c045-b1d4-4f26-9847-cf5c6f5984af,Industrials,0,False
UHS,0bab489e-f374-4a62-afe4-8301dbb231e3,Health Care,0,False
LDOS,0baeabb2-12ac-4751-af09-fcb671f498a7,Industrials,0,False
VMRK,0c8a4de1-d60c-48e5-836d-8b189a005f16,Real Estate,0,False
TFC,0c90392a-7b74-440f-a0a1-125bee898a51,Financials,0,False
ED,0cbb12ec-7e81-4329-beb1-2a35271272dc,Utilities,0,False
INTC,0cf42aa3-9816-4f1f-aa84-6482ac9303e9,Information Technology,0,False
EME,0cf9d955-34f7-4d17-8286-29a0aecac17f,Industrials,0,False
MRK,0d56791f-7395-40fa-853b-7b852bd9a7bf,Health Care,0,False
XOM,0dd35bf7-a49c-4068-bce0-8e40b700454d,Energy,0,False
BIIB,0ebf2aad-3ac3-4274-9710-d4aaf455636f,Health Care,1,False
NOW,0ec9e18b-6dc2-43f7-a956-8d07bac7c08b,Information Technology,0,False
MSCI,0ef68826-b0f7-45b8-b273-8251f7133f0a,Financials,0,False
ANET,0f1e6e45-a44d-4e3e-a53a-ffbdf25eb283,Information Technology,0,False
SBAC,0f875f59-4ac8-4061-bac4-f053f20ff91a,Real Estate,0,False
EW,0ffbf7a5-d5ed-4e83-8499-2d58645e4d9c,Health Care,0,False
EBAY,10b35642-7d26-47d1-8987-4f7a7632d273,Consumer Discretionary,0,False
SPGI,10f7d07f-0811-42bf-a780-b4d4cb53eb91,Financials,0,False
DDOG,113d6f5b-a48f-4d20-a63f-79ea0bc88ebd,Information Technology,0,False
TJX,1168e42c-a598-4ed9-8371-2033a0f6af54,Consumer Discretionary,0,False
OXY,11833dec-6549-48bf-ae48-17a25c3a9788,Energy,0,False
NI,11c19425-9801-44b2-aabb-b1871d1aaef9,Utilities,0,False
BEN,12344127-983c-4142-b3cf-97bc15a8ba70,Financials,0,False
AES,13488509-3dd7-4e28-9ede-1531dc353354,Utilities,0,False
ES,136a3d7c-55a4-44c6-83d7-100ceab822f4,Utilities,0,False
HAL,14a06c29-cc38-444d-ab21-90198dc0fa18,Energy,0,False
WM,15110ac1-3d55-4832-bb54-f59ed4abeed1,Industrials,0,False
XEL,152daa56-fc67-4627-b283-89405b4360fb,Utilities,0,False
MLM,154033d6-32bc-43e0-8344-9a07e54e7c32,Materials,0,False
CI,16af176c-d616-41d8-8a5a-b40c326e050e,Health Care,0,False
