,reversal_1,reversal_3,reversal_5,momentum_21_5,momentum_63_5,momentum_126_21,momentum_252_21,gap_reversal,intraday_reversal,close_location,volume_shock_reversal,high_252_momentum
reversal_1,1.0,0.6116993768947152,0.4899215697779547,-0.05093649699375421,-0.039116674493720145,0.020060506515369534,0.01228018931707232,0.4402969790643344,0.7960698871798781,-0.6635706451819396,0.9027388489660346,-0.04215210138676725
reversal_3,0.6116993768947152,1.0,0.798240446115907,-0.10306187645192139,-0.04654808234427467,0.08931823275659669,0.08490410668188578,0.2964037977890619,0.4558162075343668,-0.3889678586568982,0.5696608186569612,0.005960290874535161
reversal_5,0.4899215697779547,0.798240446115907,1.0,-0.15572117510383185,-0.07942627620814144,0.09295153106190858,0.11444890380711507,0.20709635535123402,0.36057053299521713,-0.3121647759797339,0.45041404557269615,0.0211691132170469
momentum_21_5,-0.05093649699375421,-0.10306187645192139,-0.15572117510383185,1.0,0.555151784733291,-0.23237564858751963,-0.32393077381899293,0.013997608856034745,-0.02790904172053635,0.015810004970082964,-0.05372297241410148,0.0827555597845536
momentum_63_5,-0.039116674493720145,-0.04654808234427467,-0.07942627620814144,0.555151784733291,1.0,0.14680758482672923,-0.06403686624175597,0.026628551487440234,-0.06056162868139704,0.0435519443757403,-0.04942819367395314,-0.02775912889706038
momentum_126_21,0.020060506515369534,0.08931823275659669,0.09295153106190858,-0.23237564858751963,0.14680758482672923,1.0,0.5452316200054993,0.020241350329698617,-0.050153816981643395,0.035445134130805016,-0.0004685707314970853,0.017563853454717067
momentum_252_21,0.01228018931707232,0.08490410668188578,0.11444890380711507,-0.32393077381899293,-0.06403686624175597,0.5452316200054993,1.0,-0.05596993168684548,-0.05369556203614722,0.028699758040170987,0.003657487658462657,0.3337468731550733
gap_reversal,0.4402969790643344,0.2964037977890619,0.20709635535123402,0.013997608856034745,0.026628551487440234,0.020241350329698617,-0.05596993168684548,1.0,0.18564265409231726,-0.09832369705566685,0.40958216767983885,-0.08597916310734553
intraday_reversal,0.7960698871798781,0.4558162075343668,0.36057053299521713,-0.02790904172053635,-0.06056162868139704,-0.050153816981643395,-0.05369556203614722,0.18564265409231726,1.0,-0.8059785154095364,0.6798420965560585,-0.09754689350926692
close_location,-0.6635706451819396,-0.3889678586568982,-0.3121647759797339,0.015810004970082964,0.0435519443757403,0.035445134130805016,0.028699758040170987,-0.09832369705566685,-0.8059785154095364,1.0,-0.5652982569452528,0.11079890135842695
volume_shock_reversal,0.9027388489660346,0.5696608186569612,0.45041404557269615,-0.05372297241410148,-0.04942819367395314,-0.0004685707314970853,0.003657487658462657,0.40958216767983885,0.6798420965560585,-0.5652982569452528,1.0,-0.038985189244236766
high_252_momentum,-0.04215210138676725,0.005960290874535161,0.0211691132170469,0.0827555597845536,-0.02775912889706038,0.017563853454717067,0.3337468731550733,-0.08597916310734553,-0.09754689350926692,0.11079890135842695,-0.038985189244236766,1.0
