family,horizon,mean_rank_ic,ic_std,icir,positive_years,qualified_raw,admitted
reversal_1,5,0.005324855524080419,0.11899190599631547,0.044749728811347055,4,True,False
reversal_3,5,0.006545382799095611,0.13139103953721318,0.04981605155229628,3,False,False
reversal_5,5,0.008936311043369302,0.13707454045133272,0.06519307680292441,4,True,True
momentum_21_5,10,-0.006643405803535659,0.1226999712007106,-0.054143499289567756,1,False,False
momentum_63_5,10,0.002727599335237954,0.12427267087506501,0.02194850497725353,2,False,False
momentum_126_21,21,0.012047933991702137,0.13304779962991384,0.09055342534949624,3,False,False
momentum_252_21,21,-0.016740216975795377,0.11537782788360666,-0.1450904154018477,1,False,False
gap_reversal,5,0.002950280592251554,0.14834074694003613,0.0198885380659715,3,False,False
intraday_reversal,5,0.008680014900618977,0.13332079591219656,0.06510623373667472,5,True,True
close_location,5,-0.00871202348354038,0.11204948876144324,-0.07775156834573822,1,False,False
volume_shock_reversal,5,0.0040194911041737755,0.11335027108741626,0.035460798334341216,4,True,True
high_252_momentum,21,-0.02702141022998145,0.2067712082393825,-0.1306826538378511,1,False,False
