symbol,continuous_adjusted_close,adjusted_move_over_50pct,included
FAST,True,False,True
MET,True,False,True
GE,True,False,True
NRG,True,False,True
NOC,True,False,True
HPE,True,False,True
AMD,True,False,True
WDAY,True,False,True
BAC,True,False,True
GS,True,False,True
CNP,True,False,True
HLT,True,False,True
PNC,True,False,True
SYY,True,False,True
FFIV,True,False,True
ABBV,True,False,True
SBUX,True,False,True
OTIS,False,False,False
TFC,False,False,False
ED,True,False,True
INTC,True,False,True
EME,True,False,True
MRK,True,False,True
XOM,True,False,True
NOW,True,False,True
MSCI,True,False,True
ANET,True,False,True
EW,True,False,True
EBAY,True,False,True
SPGI,True,False,True
DDOG,False,False,False
TJX,True,False,True
OXY,True,True,False
NI,True,False,True
HAL,True,False,True
WM,True,False,True
XEL,True,False,True
MLM,True,False,True
CI,True,False,True
KKR,True,False,True
CVX,True,False,True
CBRE,False,False,False
CFG,True,False,True
RF,True,False,True
MS,True,False,True
CTSH,True,False,True
SYK,True,False,True
AIG,True,False,True
F,True,False,True
SW,False,False,False
MU,True,False,True
COIN,False,False,False
OMC,True,False,True
SCHW,True,False,True
COST,True,False,True
EFX,True,False,True
MDT,True,False,True
AMGN,True,False,True
MA,True,False,True
FISV,False,False,False
EXC,True,False,True
FOXA,True,False,True
IBM,True,False,True
ROP,True,False,True
GD,True,False,True
CB,True,False,True
PTC,True,False,True
PYPL,True,False,True
AFL,True,False,True
CRWD,False,False,False
BSX,True,False,True
ELV,False,False,False
ORCL,True,False,True
WSM,True,False,True
AXON,True,True,False
PCAR,True,False,True
ADBE,True,False,True
CIEN,True,False,True
GPN,True,False,True
FTNT,True,False,True
DAL,True,False,True
T,True,False,True
IRM,True,False,True
ULTA,True,False,True
TDG,True,False,True
PPL,True,False,True
DG,True,False,True
DIS,True,False,True
XYL,True,False,True
LULU,True,False,True
SNDK,True,False,True
PLD,True,False,True
CPRT,True,False,True
VRTX,True,False,True
LITE,True,False,True
C,True,False,True
KO,True,False,True
STT,True,False,True
IDXX,True,False,True
ITW,True,False,True
QCOM,True,False,True
LRCX,True,False,True
XYZ,False,False,False
KVUE,False,False,False
BA,True,False,True
CAH,True,False,True
NUE,True,False,True
ZBRA,True,False,True
DOV,True,False,True
EXPE,True,False,True
WMT,True,False,True
WEC,True,False,True
ABNB,False,False,False
ROK,True,False,True
BDX,True,False,True
ADM,True,False,True
DHR,True,False,True
DUK,True,False,True
WAT,True,False,True
TXN,True,False,True
APO,True,False,True
GRMN,True,False,True
PH,True,False,True
TTWO,True,False,True
BLK,True,False,True
NSC,True,False,True
GWW,True,False,True
AXP,True,False,True
APH,True,False,True
ROL,True,False,True
STLD,True,False,True
EL,True,False,True
NVDA,True,False,True
HON,True,False,True
FDS,True,False,True
RTX,False,False,False
MO,True,False,True
URI,True,False,True
FDX,True,False,True
CVS,True,False,True
V,True,False,True
REGN,True,False,True
MTD,True,False,True
ZTS,True,False,True
DASH,False,False,False
USB,True,False,True
CDW,True,False,True
APD,True,False,True
COF,True,False,True
CHTR,True,False,True
SO,True,False,True
HUM,True,False,True
KMB,True,False,True
CMCSA,True,False,True
PSA,True,False,True
ODFL,True,False,True
LVS,True,False,True
CTAS,True,False,True
MNST,True,False,True
MPC,True,False,True
ECHO,False,True,False
BNY,True,True,False
NVR,True,False,True
FERG,False,False,False
AJG,True,False,True
CASY,True,False,True
AME,True,False,True
PCG,True,True,False
CNC,True,False,True
GOOGL,True,False,True
LMT,True,False,True
AON,True,False,True
TSCO,True,False,True
ADP,True,False,True
DECK,True,False,True
ACN,True,False,True
RDDT,False,False,False
APA,True,True,False
HWM,False,False,False
COP,True,False,True
MDLZ,True,False,True
WDC,True,False,True
AWK,True,False,True
RJF,True,False,True
BRK.B,True,False,True
TMO,True,False,True
MRVL,True,False,True
MCK,True,False,True
TYL,True,False,True
FCX,True,False,True
A,True,False,True
AMP,True,False,True
PSX,True,False,True
CEG,False,False,False
VLO,True,False,True
GEHC,False,False,False
TT,False,False,False
SLB,True,False,True
AVGO,True,True,False
MCO,True,False,True
PEP,True,False,True
TDY,True,False,True
PGR,True,False,True
D,True,False,True
PEG,True,False,True
TMUS,True,False,True
PLTR,False,False,False
EMR,True,False,True
NCLH,True,False,True
PRU,True,False,True
NXPI,True,False,True
ARES,True,False,True
LLY,True,False,True
KDP,False,False,False
HIG,True,False,True
HST,True,False,True
TECH,True,False,True
TSLA,True,False,True
DGX,True,False,True
DXCM,True,False,True
SRE,True,False,True
CVNA,True,True,False
HPQ,True,False,True
APP,False,False,False
ALB,True,False,True
AEP,True,False,True
DELL,False,False,False
PWR,True,False,True
YUM,True,False,True
LII,True,False,True
UNH,True,False,True
FITB,True,False,True
LEN,True,False,True
NEM,True,False,True
FICO,True,False,True
SYF,True,False,True
UAL,True,False,True
CSCO,True,False,True
ALL,True,False,True
VRT,False,False,False
ABT,True,False,True
AMT,True,False,True
ADSK,True,False,True
IBKR,True,False,True
CMG,True,False,True
VZ,True,False,True
BBY,True,False,True
TTD,True,False,True
LOW,True,False,True
EIX,True,False,True
VTR,True,False,True
CL,True,False,True
JCI,True,False,True
GILD,True,False,True
DPZ,True,False,True
PAYX,True,False,True
DLR,True,False,True
DVN,True,False,True
TER,True,False,True
SPG,True,False,True
LHX,False,False,False
NEE,True,False,True
JBL,True,False,True
BMY,True,False,True
ROST,True,False,True
EXE,False,False,False
TRV,True,False,True
MRNA,False,True,False
PFE,True,False,True
AAPL,True,False,True
UPS,True,False,True
PM,True,False,True
WST,True,False,True
VRSK,True,False,True
SWKS,True,False,True
IR,True,True,False
GLW,True,False,True
STZ,True,False,True
RCL,True,False,True
ON,True,False,True
FIX,True,False,True
TPR,True,False,True
WMB,True,False,True
ECL,True,False,True
HD,True,False,True
MSFT,True,False,True
TGT,True,False,True
STX,True,False,True
MMM,True,False,True
CBOE,True,False,True
IQV,True,False,True
AKAM,True,False,True
CSX,True,False,True
WELL,False,False,False
LYV,True,False,True
PANW,True,False,True
LH,True,False,True
CMI,True,False,True
NFLX,True,False,True
CME,True,False,True
MAR,True,False,True
CHRW,True,False,True
VEEV,True,False,True
UBER,False,False,False
VRSN,True,False,True
VICI,False,False,False
DE,True,False,True
MTB,True,False,True
KEYS,True,False,True
O,True,False,True
KLAC,True,False,True
JBHT,True,False,True
WAB,True,False,True
ETR,True,False,True
HBAN,True,False,True
BKNG,False,False,False
HOOD,False,True,False
ORLY,True,False,True
DRI,True,False,True
WBD,False,False,False
CRL,True,False,True
EQT,True,True,False
EOG,True,False,True
BX,True,False,True
CARR,False,False,False
COR,True,False,True
OKE,True,False,True
LIN,False,False,False
INTU,True,False,True
NDAQ,True,False,True
IT,True,False,True
AMAT,True,False,True
CRM,True,False,True
CF,True,False,True
CMS,True,False,True
CRH,True,False,True
DLTR,True,False,True
GNRC,True,False,True
SHW,True,False,True
TEL,True,False,True
NTAP,True,False,True
ETN,True,False,True
DOW,True,False,True
BKR,False,False,False
VST,True,False,True
CCL,True,False,True
HSY,True,False,True
DHI,True,False,True
CPAY,False,False,False
ICE,True,False,True
AZO,True,False,True
NKE,True,False,True
HUBB,True,False,True
MSI,True,False,True
CCI,True,False,True
GM,True,False,True
MPWR,True,False,True
KHC,True,False,True
ISRG,True,False,True
MCD,True,False,True
UNP,True,False,True
GIS,True,False,True
JPM,True,False,True
COHR,True,True,False
KMI,True,False,True
SMCI,True,True,False
KR,True,False,True
CLX,True,False,True
ADI,True,False,True
CAT,True,False,True
PODD,True,False,True
LUV,True,False,True
FIS,True,False,True
TROW,True,False,True
MCHP,True,False,True
CDNS,True,False,True
RMD,True,False,True
LYB,True,False,True
JNJ,True,False,True
TRGP,True,True,False
RSG,True,False,True
Q,False,False,False
GOOG,True,False,True
TKO,False,False,False
KEY,True,False,True
EQIX,True,False,True
AMZN,True,False,True
PG,True,False,True
FANG,True,False,True
WFC,True,False,True
HCA,True,False,True
FSLR,True,False,True
SNPS,True,False,True
FLEX,True,False,True
RL,True,False,True
CTVA,False,False,False
ZBH,True,False,True
META,False,True,False
VMC,True,False,True
GEV,False,False,False
