symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
MU,1ef18995-5094-4f62-a5c5-e00168611152,Information Technology,1015.8,33049602146.510002,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NVDA,4ce9353c-66d1-46c2-898f-fce867ab0247,Information Technology,222.27,26550057630.195,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SNDK,325cea3c-527c-4075-8130-e5bbbe58a8a3,Information Technology,1791.82,21104960407.71,1.0,395,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AAPL,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,Information Technology,336.13,14184474616.09,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TSLA,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,Consumer Discretionary,364.27,12382051784.279999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AMD,03fb07bb-5db1-4077-8dea-5d711b272625,Information Technology,559.82,12274450596.585,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MSFT,b6d1aa75-5c9c-4353-a305-9e2caa1925ab,Information Technology,493.78,11648365969.560001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
INTC,0cf42aa3-9816-4f1f-aa84-6482ac9303e9,Information Technology,108.6,10352581225.32,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
META,fc6a5dcd-4a70-4b8d-b64f-d83a6dae9ba4,Communication,665.75,10048617158.125,1.0,1221,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AMZN,f801f835-bfe6-4a9d-a6b1-ccbb84bfd75f,Consumer Discretionary,253.71,8868969128.93,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GOOGL,69b15845-7c63-4586-b274-1cfdfe9df3d8,Communication,349.54,8861587922.31,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AVGO,7a8b4fcf-0622-47ef-8541-de7f70ffc0c4,Information Technology,357.61,7941892679.41,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GOOG,f30d734c-2806-4d0d-b145-f9fade61432b,Communication,344.41,5837564464.6,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MRVL,723c21be-11af-4450-9b64-20346a6905fc,Information Technology,244.25,4920197152.200001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PLTR,80e04a93-e1a8-4503-ab61-2ef1992650b4,Information Technology,177.64,4918892388.075001,1.0,1499,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ORCL,27982558-2464-4daf-bb2f-b3b728659884,Information Technology,147.61,4434325163.17,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
STX,b74ff3ea-545f-49e2-91ad-cd4e205642a4,Information Technology,858.79,4054440798.0950003,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AMAT,ce4833e1-c561-492a-aace-7eb451d09e02,Information Technology,444.57,3717257455.49,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
LITE,363b9094-c5ae-4899-bbc0-f94b27c87a6e,Information Technology,930.91,3610428196.995,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
WDC,70cb03f3-2184-4a3a-b04c-ad5ff9524612,Information Technology,441.36,3315414993.45,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DELL,91ee1b57-f36c-40cf-a8b7-84583daaafc9,Information Technology,568.06,2963130817.27,1.0,1941,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
LLY,87266a27-1b34-47bd-b236-bd3a9f59b138,Health Care,1152.93,2958960001.53,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
LRCX,3ae976ac-6d14-4c4f-b02d-e83813f8a829,Information Technology,288.11,2897187943.8999996,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NFLX,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,Communication,71.79,2528523026.62,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GEV,fe794b59-e78a-4544-b35b-41d3cfb38f12,Industrials,940.33,2458005502.15,1.0,619,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
V,4f5baf1e-0e9b-4d85-b88a-d874dc4a3c42,Financials,368.29,2443555979.1949997,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
WMT,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,Consumer Staples,106.73,2397257457.45,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
JPM,e3047683-637a-4fb2-b71d-805cd6fec95d,Financials,349.67,2389603539.31,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CRM,cf80d13f-470c-4947-8593-c5e098aeba4e,Information Technology,237.92,2346639909.88,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CAT,e7535ed9-c182-41ef-80f6-ee08f4166b6c,Industrials,808.99,2284369045.41,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
XOM,0dd35bf7-a49c-4068-bce0-8e40b700454d,Energy,163.54,2158251740.645,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NOW,0ec9e18b-6dc2-43f7-a956-8d07bac7c08b,Information Technology,135.47,2138682375.24,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PANW,ba1cc326-cf8d-4d7c-a49e-8b413555f3d0,Information Technology,363.58,2125239019.98,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
APP,8fea5887-a5b5-4c84-87a6-0fad05130e60,Communication,308.06,2117146752.5349998,1.0,1364,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
