horizon,segment,long_rank_ic,short_rank_ic
1,train,0.008155068988109372,0.006879466185930732
1,validation,0.020455644990038924,0.001794045334340463
5,train,0.0028634614047940102,0.0020870529234057367
5,validation,0.032732194870056304,-0.0031324763363081132
10,train,-0.0001572950487357685,-0.003261417980430803
10,validation,0.040078385967435445,-0.002210436469328608
21,train,-0.010027141409315415,-0.01023322475020383
21,validation,0.05473412004495986,-0.007352627855410486
42,train,-0.017446330509410083,-0.011094919713503647
42,validation,0.07833024825841235,-0.005509462324735175
