symbol,train_max_consecutive_zero_volume,included_v5
FAST,0,True
MET,0,True
GE,0,True
NRG,0,True
NOC,0,True
HPE,0,True
AMD,0,True
WDAY,0,True
BAC,0,True
GS,0,True
CNP,0,True
HLT,0,True
PNC,0,True
SYY,0,True
FFIV,0,True
ABBV,0,True
SBUX,0,True
ED,0,True
INTC,0,True
EME,0,True
MRK,0,True
XOM,0,True
NOW,0,True
MSCI,0,True
ANET,0,True
EW,0,True
EBAY,0,True
SPGI,0,True
TJX,0,True
NI,0,True
HAL,0,True
WM,0,True
XEL,0,True
MLM,0,True
CI,0,True
KKR,0,True
CVX,0,True
CFG,0,True
RF,0,True
MS,0,True
CTSH,0,True
SYK,0,True
AIG,0,True
F,0,True
MU,0,True
OMC,0,True
SCHW,0,True
COST,0,True
EFX,0,True
MDT,0,True
AMGN,0,True
MA,0,True
EXC,0,True
FOXA,0,True
IBM,0,True
ROP,0,True
GD,0,True
CB,0,True
PTC,0,True
PYPL,0,True
AFL,0,True
BSX,0,True
ORCL,0,True
WSM,0,True
PCAR,0,True
ADBE,0,True
CIEN,0,True
GPN,0,True
FTNT,0,True
DAL,0,True
T,0,True
IRM,0,True
ULTA,0,True
TDG,0,True
PPL,0,True
DG,0,True
DIS,0,True
XYL,0,True
LULU,0,True
SNDK,1259,False
PLD,0,True
CPRT,0,True
VRTX,0,True
LITE,0,True
C,0,True
KO,0,True
STT,0,True
IDXX,0,True
ITW,0,True
QCOM,0,True
LRCX,0,True
BA,0,True
CAH,0,True
NUE,0,True
ZBRA,0,True
DOV,0,True
EXPE,0,True
WMT,0,True
WEC,0,True
ROK,0,True
BDX,0,True
ADM,0,True
DHR,0,True
DUK,0,True
WAT,0,True
TXN,0,True
APO,0,True
GRMN,0,True
PH,0,True
TTWO,0,True
BLK,0,True
NSC,0,True
GWW,0,True
AXP,0,True
APH,0,True
ROL,0,True
STLD,0,True
EL,0,True
NVDA,0,True
HON,0,True
FDS,0,True
MO,0,True
URI,0,True
FDX,0,True
CVS,0,True
V,0,True
REGN,0,True
MTD,0,True
ZTS,0,True
USB,0,True
CDW,0,True
APD,0,True
COF,0,True
CHTR,0,True
SO,0,True
HUM,0,True
KMB,0,True
CMCSA,0,True
PSA,0,True
ODFL,0,True
LVS,0,True
CTAS,0,True
MNST,0,True
MPC,0,True
NVR,0,True
AJG,0,True
CASY,0,True
AME,0,True
CNC,0,True
GOOGL,0,True
LMT,0,True
AON,0,True
TSCO,0,True
ADP,0,True
DECK,0,True
ACN,0,True
COP,0,True
MDLZ,0,True
WDC,0,True
AWK,0,True
RJF,0,True
BRK.B,0,True
TMO,0,True
MRVL,0,True
MCK,0,True
TYL,0,True
FCX,0,True
A,0,True
AMP,0,True
PSX,0,True
VLO,0,True
SLB,0,True
MCO,0,True
PEP,0,True
TDY,0,True
PGR,0,True
D,0,True
PEG,0,True
TMUS,0,True
EMR,0,True
NCLH,0,True
PRU,0,True
NXPI,0,True
ARES,0,True
LLY,0,True
HIG,0,True
HST,0,True
TECH,0,True
TSLA,0,True
DGX,0,True
DXCM,0,True
SRE,0,True
HPQ,0,True
ALB,0,True
AEP,0,True
PWR,0,True
YUM,0,True
LII,0,True
UNH,0,True
FITB,0,True
LEN,0,True
NEM,0,True
FICO,0,True
SYF,0,True
UAL,0,True
CSCO,0,True
ALL,0,True
ABT,0,True
AMT,0,True
ADSK,0,True
IBKR,0,True
CMG,0,True
VZ,0,True
BBY,0,True
TTD,0,True
LOW,0,True
EIX,0,True
VTR,0,True
CL,0,True
JCI,0,True
GILD,0,True
DPZ,0,True
PAYX,0,True
DLR,0,True
DVN,0,True
TER,0,True
SPG,0,True
NEE,0,True
JBL,0,True
BMY,0,True
ROST,0,True
TRV,0,True
PFE,0,True
AAPL,0,True
UPS,0,True
PM,0,True
WST,0,True
VRSK,0,True
SWKS,0,True
GLW,0,True
STZ,0,True
RCL,0,True
ON,0,True
FIX,0,True
TPR,0,True
WMB,0,True
ECL,0,True
HD,0,True
MSFT,0,True
TGT,0,True
STX,0,True
MMM,0,True
CBOE,0,True
IQV,0,True
AKAM,0,True
CSX,0,True
LYV,0,True
PANW,0,True
LH,0,True
CMI,0,True
NFLX,0,True
CME,0,True
MAR,0,True
CHRW,0,True
VEEV,0,True
VRSN,0,True
DE,0,True
MTB,0,True
KEYS,0,True
O,0,True
KLAC,0,True
JBHT,0,True
WAB,0,True
ETR,0,True
HBAN,0,True
ORLY,0,True
DRI,0,True
CRL,0,True
EOG,0,True
BX,0,True
COR,255,False
OKE,0,True
INTU,0,True
NDAQ,0,True
IT,0,True
AMAT,0,True
CRM,0,True
CF,0,True
CMS,0,True
CRH,0,True
DLTR,0,True
GNRC,0,True
SHW,0,True
TEL,0,True
NTAP,0,True
ETN,0,True
DOW,313,False
VST,0,True
CCL,0,True
HSY,0,True
DHI,0,True
ICE,0,True
AZO,0,True
NKE,0,True
HUBB,0,True
MSI,0,True
CCI,0,True
GM,0,True
MPWR,0,True
KHC,0,True
ISRG,0,True
MCD,0,True
UNP,0,True
GIS,0,True
JPM,0,True
KMI,0,True
KR,0,True
CLX,0,True
ADI,0,True
CAT,0,True
PODD,0,True
LUV,0,True
FIS,0,True
TROW,0,True
MCHP,0,True
CDNS,0,True
RMD,0,True
LYB,0,True
JNJ,0,True
RSG,0,True
GOOG,0,True
KEY,0,True
EQIX,0,True
AMZN,0,True
PG,0,True
FANG,0,True
WFC,0,True
HCA,0,True
FSLR,0,True
SNPS,0,True
FLEX,0,True
RL,0,True
ZBH,0,True
VMC,0,True
