year,side,mean,median,count
2018,long,12.979402677651905,6.0,1942
2018,short,12.780525502318392,9.0,1941
2019,long,14.021682567215958,9.0,2306
2019,short,13.947481704692208,9.0,2323
2020,long,12.417444219066937,6.0,2465
2020,short,12.33768352365416,7.5,2452
2021,long,13.778543731150366,9.0,2321
2021,short,13.676816006959548,9.0,2299
2022,long,13.634135855546003,9.0,2326
2022,short,13.726683937823834,9.0,2316
2023,long,13.296041308089501,6.0,2324
2023,short,13.1070819112628,9.0,2344
2024,long,12.46875,6.0,2304
2024,short,12.092287694974004,6.0,2308
