regime_type,segment,regime,sessions,mean_net_return_bps,mean_gross_return_bps,mean_cost_bps
dispersion,train,mid,418,-0.6753748936850525,-0.18491158522530846,0.49046330845974395
dispersion,train,low,419,-1.137215663016175,-0.6331144319735489,0.5041012310426262
dispersion,train,high,419,0.8903599383604862,1.3723662425790677,0.48200630421858115
dispersion,development,low,160,0.14910528947177223,0.7097796896186575,0.5606744001468853
dispersion,development,mid,206,-1.1307849889887123,-0.6303602433807729,0.5004247456079396
dispersion,development,high,136,-0.02650716057929582,0.4742074037060722,0.500714564285368
drawdown,train,normal_above_5pct,756,-0.8056663876017326,-0.30915349459216707,0.4965128930095656
drawdown,train,drawdown_5_to_15pct,337,-0.13750049604647555,0.336460793824534,0.4739612898710096
drawdown,train,stress_below_15pct,166,1.6245915783342564,2.1252181952550826,0.5006266169208253
drawdown,development,stress_below_15pct,36,-3.430378166042313,-2.8620632713239003,0.5683148947184133
drawdown,development,drawdown_5_to_15pct,150,0.2543722646536166,0.7708658230912525,0.516493558437636
drawdown,development,normal_above_5pct,316,-0.40301285118827423,0.11268085889412743,0.5156937100824017
