segment,bucket,pnl_total,pnl_annualized_additive
train,Q1,0.005537886252180972,0.0011084569781966678
train,Q2,0.011097631928924316,0.002221289313811698
train,Q3,0.019983748604953406,0.003999924264057393
train,Q4,-8.466873152033951e-05,-1.6947196459988528e-05
train,Q5,-0.013289251452585015,-0.0026599613709701537
development,Q1,0.0024961010998273132,0.0012530228628615198
development,Q2,0.012260767600229,0.006154807639955594
development,Q3,0.002023913054892793,0.001015988226758932
development,Q4,0.003685405818517989,0.001850044355112616
development,Q5,-0.015645912862809926,-0.007854123588502194
