horizon,segment,mean_ic,mean_rank_ic
1,train,0.008311785903627173,0.011595055277762577
1,development,0.01211126587099635,0.01887321573400393
2,train,0.006370616939290072,0.01013073997665718
2,development,0.008662049918516946,0.015043990604539276
3,train,0.007834375851367176,0.01166278622485726
3,development,0.005520284192193402,0.012348117062224256
5,train,0.008098937232116727,0.01166635111420927
5,development,0.00310170363332535,0.008604559673618822
10,train,0.007236073655666243,0.009578284286405444
10,development,-0.001826717569422615,-0.0002303972698813301
21,train,0.010264905494947841,0.007729746396327345
21,development,6.865281923307127e-05,0.0015130616860992213
