session,decision_session,fit_start,fit_end,absolute_correlation,variance_ratio,downside_ratio,shrinkage,fit_mean_return,return_floor,turnover,objective,maximum_weight,minimum_weight,weight_legacy_reversal,weight_kalman,weight_dislocation,weight_legacy_blend,weight_v7_R01
2018-07-02,2018-07-02,2018-01-02,2018-07-02,0.017777072708655882,1.0,1.0,0.0,-0.0001460863474883502,-inf,1.0,0.017777072708655882,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2018-10-01,2018-10-01,2018-04-04,2018-10-01,0.051301578931850715,1.0,1.0,0.0,-0.00015879505566610946,-inf,0.003595576928558636,0.051301578931850715,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-01-02,2019-01-02,2018-07-03,2019-01-02,0.23271829946688508,1.0,1.0,0.0,-0.00016673028132556755,-inf,0.003889455812226439,0.23271829946688508,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-04-03,2019-04-03,2018-10-02,2019-04-03,0.24619009480192539,1.0,1.0,0.0,-0.00017681858821748977,-inf,0.005637522124997629,0.24619009480192539,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-07-03,2019-07-03,2019-01-03,2019-07-03,0.12950128038801337,1.0,1.0,0.0,-0.00017209477314882117,-inf,0.002947802150919804,0.12950128038801337,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-10-02,2019-10-02,2019-04-04,2019-10-02,0.011187702122138146,1.0,1.0,0.0,-0.0001775436606247623,-inf,0.0027800495985955687,0.011187702122138146,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2020-01-02,2020-01-02,2019-07-05,2020-01-02,0.0850595370839373,1.0,1.0,0.0,-0.00019857459400614812,-inf,0.001974686556449834,0.0850595370839373,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2020-04-02,2020-04-02,2019-10-03,2020-04-02,0.3217017335066935,1.0,1.0,0.0,-0.00022306076364276428,-inf,0.0019904022974945867,0.3217017335066935,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2020-07-02,2020-07-02,2020-01-03,2020-07-02,0.2199108112762545,1.0,1.0,0.0,-0.00015301824345577295,-inf,0.009602150307894797,0.2199108112762545,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2020-10-01,2020-10-01,2020-04-03,2020-10-01,0.07984777863224131,1.0,1.0,0.0,-0.00011403553056990434,-inf,0.0030709709594402557,0.07984777863224131,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2020-12-31,2020-12-31,2020-07-06,2020-12-31,0.027932932486475364,1.0,1.0,0.0,-0.00014354820973241976,-inf,0.004359883651017582,0.027932932486475364,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-04-05,2021-04-05,2020-10-02,2021-04-05,0.18504250261790992,1.0,1.0,0.0,-0.00014037363542136465,-inf,0.005905081556486086,0.18504250261790992,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-07-02,2021-07-02,2021-01-04,2021-07-02,0.3302141584702435,1.0,1.0,0.0,-0.00015582126422765324,-inf,0.001151151909565884,0.3302141584702435,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-10-01,2021-10-01,2021-04-06,2021-10-01,0.12967094871258106,1.0,1.0,0.0,-0.0001678581213965539,-inf,0.0007007765763765161,0.12967094871258106,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-12-31,2021-12-31,2021-07-06,2021-12-31,0.3094416859232257,1.0,1.0,0.0,-0.00018626847410954198,-inf,0.00432665892037723,0.3094416859232257,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-04-01,2022-04-01,2021-10-04,2022-04-01,0.3289500926762152,1.0,1.0,0.0,-0.00020408424623592238,-inf,0.0010102724380445793,0.3289500926762152,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-07-05,2022-07-05,2022-01-03,2022-07-05,0.25222787145033476,1.0,1.0,0.0,-0.00018527029282633124,-inf,0.0031740294388981627,0.25222787145033476,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-10-03,2022-10-03,2022-04-04,2022-10-03,0.19675767705482472,1.0,1.0,0.0,-0.00016637210112095956,-inf,0.0038434358122111656,0.19675767705482472,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2023-01-03,2023-01-03,2022-07-06,2023-01-03,0.18217550580065797,1.0,1.0,0.0,-0.0001880908711677769,-inf,0.001050002781412207,0.18217550580065797,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2023-04-04,2023-04-04,2022-10-04,2023-04-04,0.1158763155039884,1.0,1.0,0.0,-0.00019964612792040492,-inf,0.0010693147193634178,0.1158763155039884,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2023-07-06,2023-07-06,2023-01-04,2023-07-06,0.013661423304062255,1.0,1.0,0.0,-0.0001834982667628065,-inf,0.0037543145064601047,0.013661423304062255,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2023-10-04,2023-10-04,2023-04-05,2023-10-04,0.08897205328830936,1.0,1.0,0.0,-0.00015635281985702202,-inf,0.00525025187821393,0.08897205328830936,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2024-01-04,2024-01-04,2023-07-07,2024-01-04,0.037613987505604005,1.0,1.0,0.0,-0.00015212449650242585,-inf,0.0034827320303971454,0.037613987505604005,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2024-04-05,2024-04-05,2023-10-05,2024-04-05,0.0649310818607454,1.0,1.0,0.0,-0.00015650886336970868,-inf,0.0030448070876512023,0.0649310818607454,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2024-07-08,2024-07-08,2024-01-05,2024-07-08,0.0735838507143155,1.0,1.0,0.0,-0.0001586542748928963,-inf,0.00418040155504662,0.0735838507143155,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2024-10-04,2024-10-04,2024-04-08,2024-10-04,0.1792507036040443,1.0,1.0,0.0,-0.00017659774711802876,-inf,0.002460827241140301,0.1792507036040443,0.2,0.2,0.2,0.2,0.2,0.2,0.2
