session,decision_session,fit_start,fit_end,absolute_correlation,variance_ratio,downside_ratio,shrinkage,fit_mean_return,solver_message,return_floor,turnover,objective,maximum_weight,minimum_weight,weight_legacy_reversal,weight_kalman,weight_dislocation,weight_legacy_blend,weight_v7_R01
2018-07-02,2018-07-02,2018-01-02,2018-07-02,0.000793449978212412,0.7798222513919507,0.8644806745588323,0.10578728257301787,-0.00014310332146986272,Optimization terminated successfully,-0.0001460863474883502,1.0,0.20632774108350188,0.4497621006470008,1.470816470319437e-18,0.14695965624639903,0.18449963280680945,0.4497621006470008,1.470816470319437e-18,0.2187786102997908
2018-10-01,2018-10-01,2018-04-04,2018-10-01,0.053701907735491626,0.8704140407048124,0.9317255478693771,0.08036460363428571,-0.00015879505566610976,Optimization terminated successfully,-0.00015879505566610946,0.250265331133984,0.2793418782751233,0.4420833155860169,0.0877044194800019,0.0877044194800019,0.1406279556683473,0.4420833155860169,0.12513266556699187,0.20445164369864208
2019-01-02,2019-01-02,2018-07-03,2019-01-02,0.1825458236731961,0.7526466301870234,0.8630756472941536,0.23672402860876124,-0.00016673028132559712,Optimization terminated successfully,-0.00016673028132556755,0.4579863275395236,0.3943798840808281,0.6,0.0,0.0,0.2104373666621833,0.6,0.009713263493631967,0.17984936984418468
2019-04-03,2019-04-03,2018-10-02,2019-04-03,0.23127066540862373,0.6770219869657175,0.8376515573101233,0.24146723826579053,-0.00017681858825628112,Optimization terminated successfully,-0.00017681858821748977,0.03830251045736077,0.42467288597663216,0.6,4.683753385137379e-17,3.0826080203842945e-16,0.22708540442554498,0.6,4.683753385137379e-17,0.17291459557445474
2019-07-03,2019-07-03,2019-01-03,2019-07-03,0.11881193234818489,0.8750406707640616,0.939112988103751,0.12771895766305008,-0.00017209477314886234,Optimization terminated successfully,-0.00017209477314882117,0.6000000000000003,0.3503439958055053,0.44579810973137607,1.3690782864146124e-17,0.0684477535247606,0.44579810973137607,0.29908813213391594,1.3690782864146124e-17,0.18666600460994748
2019-10-02,2019-10-02,2019-04-04,2019-10-02,1.8021828684832954e-11,0.8880689033668863,0.9374005601362306,0.1292554819676155,-0.00017754366062477874,Optimization terminated successfully,-0.0001775436606247623,0.5945741233653948,0.23494277405650496,0.4923423699426049,1.9555729562695373e-15,0.16866835017102927,0.14771627408895255,0.4923423699426049,1.9555729562695373e-15,0.1912730057974907
2020-01-02,2020-01-02,2019-07-05,2020-01-02,0.08700196253865967,0.6878886661172554,0.8383308494976847,0.2174382618746034,-0.0001985745940061505,Optimization terminated successfully,-0.00019857459400614812,0.37654838341029473,0.28071795525543386,0.5999999999999999,0.014534280960503332,0.014534280960503332,0.1706156965310253,0.5999999999999999,0.05724018006565629,0.15760984244281515
2020-04-02,2020-04-02,2019-10-03,2020-04-02,0.3517623858414804,0.7675436376355432,0.8387825386233536,0.1267032662148169,-0.00022306076364278965,Optimization terminated successfully,-0.00022306076364276428,0.5999999999999999,0.5563186218718479,0.4518634177567331,0.017851868392586658,0.29584918184989095,0.017851868392586658,0.4518634177567331,0.05722909636429441,0.17720643563649485
2020-07-02,2020-07-02,2020-01-03,2020-07-02,0.20039484029888507,0.9842621642474225,1.0119930300521065,0.06014998907606191,-0.0001530182434557714,Optimization terminated successfully,-0.00015301824345577295,0.6000000000000003,0.45247538026834694,0.3907799130618189,0.056972923877670154,0.3907799130618189,0.2197667856086343,0.14854705706043395,0.056972923877670154,0.1839333203914426
2020-10-01,2020-10-01,2020-04-03,2020-10-01,0.0668906954294602,0.98771925967502,0.9907257192380199,0.02893655146148567,-0.00011403553056990255,Optimization terminated successfully,-0.00011403553056990434,0.5999999999999999,0.31671416549436376,0.32058235259692175,0.08998719943694235,0.08998719943694235,0.21928432102855153,0.32058235259692175,0.15790580827062614,0.2122403186669583
