experiment,year,net_return,allocation_cost
S00,2018,-0.021087894325403367,0.0005017977884642793
S00,2019,-0.04552725345928621,7.627414843369721e-06
S00,2020,-0.03697835208308409,8.319105060639736e-06
S00,2021,-0.04218616276774789,6.058446846723034e-06
S00,2022,-0.04561109349974124,6.177198304765568e-06
S00,2023,-0.04139348806405874,5.56194194272483e-06
S00,2024,-0.0420510358517141,6.584383957117634e-06
S07,2018,-0.020683686207715213,0.0006251326655669
S07,2019,-0.04617724695720038,0.0008454314806809804
S07,2020,-0.04061949309327417,0.0010882741917049
S07,2021,-0.044443676269680266,0.0008647308060667944
S07,2022,-0.0479699664519625,0.0010536434533046
S07,2023,-0.04295689364017419,0.0007077336512917
S07,2024,-0.04271114559045597,0.0005825318918976143
