session,experiment,rolling_63d_correlation
2018-07-03,S00,0.0729662460314938
2018-07-05,S00,0.01667324581187041
2018-07-06,S00,-0.03220557547931691
2018-07-09,S00,-0.04800398654942108
2018-07-10,S00,-0.046626701435895875
2018-07-11,S00,-0.016787983440236794
2018-07-12,S00,-0.029600966965578908
2018-07-13,S00,-0.027516567473167927
2018-07-16,S00,-0.010922174473669539
2018-07-17,S00,-0.028216262643007396
2018-07-18,S00,-0.026671084672768974
2018-07-19,S00,-0.0037085944981095492
2018-07-20,S00,0.012770826796159096
2018-07-23,S00,0.015106606833418721
2018-07-24,S00,0.04256686614832582
2018-07-25,S00,0.01653714477463475
2018-07-26,S00,-0.01773834779549088
2018-07-27,S00,0.05561874475692047
2018-07-30,S00,0.05740426524411338
2018-07-31,S00,0.03133610095793153
2018-08-01,S00,0.03793849823752089
2018-08-02,S00,0.07144911887678528
2018-08-03,S00,0.0603402240333587
2018-08-06,S00,0.05086531848526388
2018-08-07,S00,0.047413948310838484
2018-08-08,S00,0.04514002767161763
2018-08-09,S00,0.038405109377621434
2018-08-10,S00,0.061423088610353095
2018-08-13,S00,0.06999956256431385
2018-08-14,S00,0.03223230861539248
2018-08-15,S00,0.036257466132408114
2018-08-16,S00,0.018779860919615997
2018-08-17,S00,0.011301191125243462
2018-08-20,S00,-0.003211491841923185
2018-08-21,S00,0.007132453766660392
2018-08-22,S00,0.008758619350056108
2018-08-23,S00,0.019028706216864297
2018-08-24,S00,0.014609570867900653
2018-08-27,S00,0.07498367623450677
2018-08-28,S00,0.060638308533297776
2018-08-29,S00,0.05322366720789683
2018-08-30,S00,0.04911019570458885
2018-08-31,S00,0.04236925629637125
2018-09-04,S00,0.05554626341889684
2018-09-05,S00,-0.003329286486840889
2018-09-06,S00,0.02111555186059067
2018-09-07,S00,0.021043491284948458
2018-09-10,S00,0.015413999212091748
2018-09-11,S00,0.00943726245716895
2018-09-12,S00,0.0192697987671297
2018-09-13,S00,0.014797824463150724
2018-09-14,S00,0.027322210254486355
2018-09-17,S00,0.05888622802679583
2018-09-18,S00,0.06190984523716043
2018-09-19,S00,0.05956131098903091
2018-09-20,S00,0.06639071004104634
2018-09-21,S00,0.06952280612472082
2018-09-24,S00,0.08863244878483141
2018-09-25,S00,0.08469167243962006
2018-09-26,S00,0.11376889532351422
2018-09-27,S00,0.10790781122160635
2018-09-28,S00,0.10720576947897638
2018-10-01,S00,0.10099727351893008
2018-10-02,S00,0.07509978435300833
2018-10-03,S00,0.08038215693087244
2018-10-04,S00,0.1381819405133757
2018-10-05,S00,0.13167922537102844
2018-10-08,S00,0.12133462935120216
2018-10-09,S00,0.13100252093175338
2018-10-10,S00,0.1947050455488657
2018-10-11,S00,0.07055526588821437
2018-10-12,S00,0.14486879318665008
2018-10-15,S00,0.15860632701395427
2018-10-16,S00,0.20016876509478027
2018-10-17,S00,0.19995799018750804
2018-10-18,S00,0.16239235457266124
2018-10-19,S00,0.16002375998598176
2018-10-22,S00,0.15015567026057614
2018-10-23,S00,0.15947380760339783
2018-10-24,S00,0.23622290853658687
2018-10-25,S00,0.2550330493734959
2018-10-26,S00,0.22963557924095757
2018-10-29,S00,0.2487396719142211
2018-10-30,S00,0.2398747153367002
2018-10-31,S00,0.23615366606855645
2018-11-01,S00,0.2649933648578866
2018-11-02,S00,0.2632006089415976
2018-11-05,S00,0.2688037596087023
2018-11-06,S00,0.2720660397219538
2018-11-07,S00,0.2728217568596004
2018-11-08,S00,0.27189536782756213
2018-11-09,S00,0.28435231155349067
2018-11-12,S00,0.321094882903617
2018-11-13,S00,0.32468459733792165
2018-11-14,S00,0.33518452589723896
2018-11-15,S00,0.3397561656149473
2018-11-16,S00,0.3341407722854576
2018-11-19,S00,0.3615132699627924
2018-11-20,S00,0.3663387519273124
2018-11-21,S00,0.3693408830765033
2018-11-23,S00,0.37334928958565755
2018-11-26,S00,0.3480453270804528
2018-11-27,S00,0.3516259253464997
2018-11-28,S00,0.36003905219854276
