sleeve,segment,sessions,total_return,cagr,annual_volatility,sharpe,max_drawdown,positive_day_rate,market_correlation
legacy_reversal,train,1259,-0.22751606496216925,-0.050357633037061755,0.004906529804051925,-10.527295947045586,-0.22751606496216925,0.16521048451151707,0.055320682664400954
legacy_reversal,development,502,-0.09727407473147753,-0.05007476819122525,0.0028987289959063437,-17.718997274597086,-0.09711365673855799,0.11155378486055777,-0.07844653747507231
kalman,train,1259,-0.22760509110409166,-0.050379540042014725,0.004931393556899615,-10.478870318223848,-0.22760509110409166,0.16282764098490865,0.06030868961832439
kalman,development,502,-0.09917287782918549,-0.0510783156330219,0.002836921181284963,-18.477615111459965,-0.09901278657895185,0.09163346613545817,-0.05225668312641468
dislocation,train,1259,-0.22318766225480635,-0.049294954074205255,0.00328162276767341,-15.401210790255204,-0.22318766225480635,0.09610802223987291,0.1247420074211648
dislocation,development,502,-0.09208864611927692,-0.04733953005948599,0.0019136636896078523,-25.33894541538042,-0.09192583261153187,0.055776892430278883,-0.08558675334269258
legacy_blend,train,1259,-0.22815635665990497,-0.05051523706620664,0.004401370857178459,-11.773782723928166,-0.22815635665990497,0.15091342335186655,0.07168945467828898
legacy_blend,development,502,-0.09667307968232197,-0.04975735187371566,0.0025529387516651223,-19.98852770758825,-0.09651371877131953,0.08167330677290836,-0.05287770174445544
v7_R01,train,1259,-0.03872026335322465,-0.007873081509216506,0.01916514669896134,-0.40286218068995405,-0.06542288540713759,0.45750595710881653,0.22369633179656842
v7_R01,development,502,-0.021208043389075004,-0.010703093927883267,0.012950185806576848,-0.824456144127666,-0.020122355255163926,0.4900398406374502,0.06671136282629639
