experiment,multiplier,year,observations,pass_rate,median_edge_to_cost
K05,1.0,2018,47020,0.024883028498511272,1.2533725009564252
K05,1.0,2019,62962,0.02466567135732664,1.2429012498962633
K05,1.0,2020,63250,0.025739130434782608,1.2323435951941863
K05,1.0,2021,63000,0.02638095238095238,1.2538124126688364
K05,1.0,2022,62750,0.02648605577689243,1.2410673460749604
K05,1.0,2023,62500,0.02632,1.2336838742455851
K05,1.0,2024,63000,0.025063492063492062,1.237384663955915
K06,1.5,2018,47020,0.0066992769034453425,1.726612654517137
K06,1.5,2019,62962,0.005622438931418951,1.7113728220906186
K06,1.5,2020,63250,0.005549407114624506,1.6758540682489966
K06,1.5,2021,63000,0.006285714285714286,1.6893421974808933
K06,1.5,2022,62750,0.006358565737051793,1.6975630479872261
K06,1.5,2023,62500,0.00576,1.6836358906908573
K06,1.5,2024,63000,0.0057619047619047615,1.6771455852940107
K07,2.0,2018,47020,0.001446193109315185,2.182003993875381
K07,2.0,2019,62962,0.001286490263968743,2.1939251479881987
K07,2.0,2020,63250,0.0008537549407114625,2.1126701521252462
K07,2.0,2021,63000,0.0010317460317460319,2.1355031853416255
K07,2.0,2022,62750,0.0012270916334661355,2.1407438300164414
K07,2.0,2023,62500,0.001072,2.1501955193723252
K07,2.0,2024,63000,0.0010476190476190477,2.14217105919385
K08,1.0,2018,47020,0.006252658443215653,1.0954505084300359
K08,1.0,2019,62962,0.005225374035132302,1.1056030413579743
K08,1.0,2020,63250,0.004458498023715415,1.0721844446629225
K08,1.0,2021,63000,0.005222222222222222,1.0785214279036908
K08,1.0,2022,62750,0.005466135458167331,1.0832700248317488
K08,1.0,2023,62500,0.004848,1.0736830522895908
K08,1.0,2024,63000,0.005285714285714286,1.0833092826107251
