regime_type,segment,regime,sessions,mean_net_return_bps,mean_gross_return_bps
dispersion,train,mid,418,-0.8086564269970383,-0.33963603839936307
dispersion,train,low,419,-0.7636671348542662,-0.288831391599373
dispersion,train,high,419,0.6851925155360397,1.144604773965036
dispersion,development,low,160,0.07125550703297105,0.5985809754739119
dispersion,development,mid,206,-0.9070911510107834,-0.4348677849703365
dispersion,development,high,136,0.6587335946617955,1.1294316338072854
drawdown,train,normal_above_5pct,756,-0.7026853018348101,-0.2319006906636363
drawdown,train,drawdown_5_to_15pct,337,-0.22487284098204208,0.2267369977850421
drawdown,train,stress_below_15pct,166,1.4223673711985885,1.9006490183640286
drawdown,development,stress_below_15pct,36,-2.958725082679765,-2.4296368511260438
drawdown,development,drawdown_5_to_15pct,150,0.10813615457706617,0.5955860581200219
drawdown,development,normal_above_5pct,316,0.013992255319524685,0.4997528876337396
