date,net_return,gross_return,transaction_cost,borrow_cost,nav,turnover,gross_exposure,net_exposure,beta_exposure,max_group_exposure,max_weight,rank_ic,risk_liquidation,capacity_proxy_nav
2025-01-02,-3.477848118384695e-05,0.0,3.477848118384695e-05,0.0,99996.52215188161,0.09354059273465982,0.09354384604754945,3.386769139008815e-15,4.85722573273506e-15,2.4702462297909733e-15,0.02400083471257845,0.532967032967033,False,105918.94352593936
2025-01-03,4.3324250231238725e-05,8.328532875152711e-05,3.6116810874498824e-05,3.844267645789564e-06,100000.85442622958,0.09707847849106048,0.0021112529819928907,-1.243271319117581e-14,-1.1461534846213262e-14,3.14186944683693e-15,0.0005407616962674913,0.1868131868131868,False,103790.4379411369
2025-01-06,-3.945575807201369e-05,-1.3559290878785425e-06,3.783953752060025e-05,2.602914635349028e-07,99996.90881671035,0.1015810581973064,0.10369537371659458,2.0390270831992507e-15,7.7021722333370235e-16,1.0269562977782698e-15,0.026398519974730597,-0.03296703296703297,False,103699.97603724967
2025-01-07,7.115440378384753e-05,0.00011314639205834563,3.7730534560117586e-05,4.261453714380515e-06,100004.02403713744,0.10122742559405,0.20344515296520466,-3.4263979134705472e-15,-5.537237335317968e-15,4.163336342344337e-15,0.05086941060533761,-0.0879120879120879,False,100227.80539871291
2025-01-08,0.0001399530990251033,0.00018407264361607907,3.5758784880076804e-05,8.360759710898961e-06,100018.01991021642,0.09608123271283112,0.10749986141725668,1.0251139148558554e-14,9.721390359374027e-15,1.846531664692948e-15,0.027088845834781234,-0.2582417582417582,False,111016.45188362086
2025-01-10,-0.00015428724987388506,-0.00010917745897493395,3.6274185850958245e-05,8.835605047992857e-06,100002.58840498664,0.09748120206649685,0.0076340081408732665,1.0016437255658249e-16,8.153200337090993e-17,5.297107473335818e-17,0.0020010080461511973,-0.23626373626373626,False,107809.522611371
2025-01-13,-2.7074042604376938e-05,1.1473313490945871e-05,3.7606177009461734e-05,9.411790858610751e-07,99999.88093064762,0.1008121214605599,0.09317560729332064,-1.8992396170821788e-15,-2.0747292772682613e-15,1.1206313654810174e-15,0.02451462509138887,-0.5934065934065934,False,101463.64819029765
2025-01-14,2.0583958568767164e-05,6.06035064198383e-05,3.619041330477021e-05,3.829134546300926e-06,100001.93932405357,0.09715919111460646,0.19095693297044408,-1.936141479104105e-16,-1.5265566588595902e-16,4.85722573273506e-16,0.050306334481998505,-0.19780219780219782,False,104794.93920107666
2025-01-15,0.00014490844453987975,0.00018693666196858586,3.4180672238139904e-05,7.847545190566205e-06,100016.430449532,0.0918855025296016,0.10158408227012018,-8.151220271175982e-16,-9.783840404509192e-16,3.226585665316861e-16,0.026630635247639024,-0.049450549450549455,False,109909.81419066117
2025-01-16,-9.384706307042357e-05,-5.331520861803078e-05,3.635716613992206e-05,4.174688312470727e-06,100007.04420127551,0.09760391503818727,0.004590938007522853,5.587038696631528e-16,-3.178880769727499e-16,1.1345091532888318e-15,0.0011900203385609332,-0.33516483516483514,False,109581.41153699941
2025-01-17,-3.564869235246921e-05,1.5652876085664505e-06,3.7025311275795015e-05,1.886686852406422e-07,100003.47908092369,0.09922566704262557,0.09459930147897853,-3.0378906629015925e-15,-3.066991105526995e-15,1.1522767543399576e-15,0.02509303068628475,-0.2692307692307692,False,105109.27380908509
2025-01-21,-2.9388017866765058e-06,4.9513087900583485e-05,3.690131958112603e-05,1.5550570106133958e-05,100003.18519052069,0.09883410849087432,0.19460610690960517,3.38189280196067e-15,2.609024107869118e-15,1.2532395546795912e-15,0.05250879925819467,0.2747252747252747,False,101428.01953170146
2025-01-22,7.024845676545556e-05,0.00011240937971307819,3.416341170476229e-05,7.997511242860347e-06,100010.21025995194,0.09162224383154832,0.10362478425157956,5.570947774174639e-16,7.28583859910259e-16,4.753142324176451e-16,0.027279451097899355,-0.14285714285714285,False,107593.04687392124
2025-01-23,6.1293837661471295e-06,5.021126716818477e-05,3.982333062457549e-05,4.258552777462151e-06,100010.82326091116,0.1064633265435747,0.0023819321873044834,-9.849546024989496e-16,-1.1136924715771102e-15,4.614364446098307e-16,0.0006272000928866735,0.010989010989010988,False,103414.08420095521
2025-01-24,-3.76005548616268e-05,1.1620422183268614e-06,3.866470945581782e-05,9.788762413584113e-08,100007.06279846438,0.10342644329421403,0.10580417056070916,2.0349991878814694e-15,1.7694179454963432e-15,6.487865800153259e-16,0.028459796264126792,0.15934065934065936,False,104705.08284159526
2025-01-27,-0.00010579217762161152,-5.473721815618717e-05,3.801060967026868e-05,1.3044349795155673e-05,99996.4828335134,0.10164312085392506,0.20514842380857043,4.430763883631475e-15,3.0808688933348094e-15,7.077671781985373e-16,0.05523585674189661,0.5164835164835164,False,103067.77000122041
2025-01-28,0.00026923278293064306,0.0003211695628222878,4.350602274882695e-05,8.430757142817781e-06,100023.40516486992,0.11545271789272019,0.32256251659327184,-4.312936055451014e-14,-3.624878175401136e-14,9.120341262610502e-15,0.08563672657283931,-0.5604395604395606,False,101643.48761856814
2025-01-29,-0.0008615872728901017,-0.0007888473218849191,5.9483957172580595e-05,1.3255993832601987e-05,99937.22627198874,0.15794795086784813,0.20038463544529117,2.782838038967759e-16,3.608224830031759e-16,3.191891195797325e-16,0.0563848717035924,0.13406593406593406,False,106614.13016551791
2025-01-30,0.0001996037319866224,0.00028564375988190716,7.780504287698514e-05,8.234985018299626e-06,99957.17411531703,0.20193998878800282,0.0,0.0,0.0,0.0,0.0,-0.21428571428571427,True,52522.1729528141
2025-01-31,-3.427323099359964e-05,0.0,3.427323099359964e-05,0.0,99953.7482599991,0.09128963110898868,0.09129276000684043,-1.1746292459084132e-15,-1.3183898417423734e-15,7.355227538141662e-16,0.028000959683359274,0.005494505494505494,False,106441.91214285712
2025-02-03,-0.00013738082101680818,-8.563649460424785e-05,4.048905463089494e-05,1.1255271781665403e-05,99940.01653199944,0.10790474336640192,0.017361159583440568,-5.669433968101903e-16,-3.4867941867133823e-16,2.1259485653687408e-16,0.0038634663510153716,0.09010989010989012,False,103380.16685998975
2025-02-04,-4.312171716574591e-05,-9.589641387491106e-06,3.2818603466606537e-05,7.134723116482657e-07,99935.70694687302,0.08748308946515299,0.07900086505088566,-1.109176990143864e-15,-1.0408340855860843e-15,5.620504062164855e-16,0.028116523911550537,0.4769230769230769,False,105897.45681225859
2025-02-05,-3.868371230855438e-06,2.381614384263416e-05,2.4437904180987403e-05,3.246610892502196e-06,99935.32035845933,0.06622832012641507,0.049692471590911835,3.9177157420592385e-16,3.434752482434078e-16,1.2967692533186575e-16,0.01031031582414941,0.3758241758241759,False,113717.93275873084
2025-02-06,-4.817911640125412e-05,-2.1430283826168614e-06,4.399393165188747e-05,2.042156366749785e-06,99930.50556302718,0.1183823962252993,0.06866628793818322,-2.72267475702726e-16,-3.8163916471489756e-16,2.5153490401663703e-16,0.013886957773733014,-0.6835164835164835,False,106566.13149128012
2025-02-07,-9.89716399427076e-06,1.726131950032624e-05,2.433658125056206e-05,2.8219022440349377e-06,99929.5165344256,0.06598746724575168,0.10756998700066055,-1.750980015931148e-16,-5.551115123125783e-17,1.7716533527711942e-16,0.032036815076770794,0.05054945054945055,False,107472.25135755303
2025-02-10,-0.00013381357911751475,-8.956795862828644e-05,3.098356729736603e-05,1.3262053191862281e-05,99916.14460815863,0.08326055494549829,0.19175116780466944,7.054111493580188e-16,1.6375789613221059e-15,8.604228440844963e-16,0.05820433027911265,0.03736263736263736,False,101339.2695430915
2025-02-11,-0.00021539841688816835,-0.0001868444103119575,2.067382159793678e-05,7.880184978274057e-06,99894.62282878847,0.056764173899521896,0.2111415295154483,-4.08635451961471e-15,-4.1772141301521515e-15,1.887379141862766e-15,0.06513337869317284,0.4065934065934066,False,108324.21516873383
2025-02-12,7.33364534791766e-05,0.00010953682383850068,2.7523321201154803e-05,8.677049158169275e-06,99901.94874614837,0.07513884838846126,0.23969729152092198,2.1946698196719095e-15,1.0824674490095276e-15,9.020562075079397e-16,0.07780562112699173,0.6175824175824175,False,102055.71620238772
2025-02-13,9.551914090366999e-05,0.00013831837028535285,3.2948655757535475e-05,9.85057362414739e-06,99911.49129446721,0.08970127422224705,0.2771954982776297,3.3148926208589303e-15,2.609024107869118e-15,1.3122378992385293e-15,0.08889759943723091,-0.08131868131868132,False,103441.76054913928
2025-02-14,5.6958860353900975e-05,0.00011783749641929111,4.9487040245761655e-05,1.1391595819628481e-05,99917.1821391476,0.13203588513646605,0.18796309355100166,-1.3574514467204539e-15,-1.3877787807814457e-17,1.627170620466245e-15,0.055042061194788244,0.12087912087912088,False,100919.4376073297
2025-02-18,-0.00019382628536916555,-0.00014274914428382722,2.0179098309830967e-05,3.089804277550735e-05,99897.81556288901,0.05536202552105287,0.1333972750715621,1.2221443905414082e-17,1.5265566588595902e-16,2.983724378680108e-16,0.044285067999663405,0.1032967032967033,False,105620.76091827762
2025-02-19,-0.00012674052722490156,-6.431900526910509e-05,5.6939442158335016e-05,5.482079797461454e-06,99885.15446107594,0.15209395591617442,0.14923666078276962,-5.18071199340197e-14,-5.209721543053547e-14,1.2670420268534599e-14,0.03231133816816582,0.01098901098901099,False,101516.99877893912
2025-02-20,-1.1446295805554424e-05,2.425341907209502e-05,2.9566701420821163e-05,6.13301345682828e-06,99884.0111460514,0.08080858203690193,0.11161833443278862,-2.2766623981195414e-16,-2.2898349882893854e-16,1.5265566588595902e-16,0.02099725369647331,-0.16923076923076924,False,109127.2924514737
2025-02-21,-6.69005862351862e-05,-2.4848604730678273e-05,3.746492666480428e-05,4.5870548397036505e-06,99877.32884715022,0.10024369420811158,0.16778935267237755,2.0539932318054335e-15,9.853229343548264e-16,7.632783294297951e-16,0.053687964375672255,0.1032967032967033,False,103376.03722908636
2025-02-24,-6.51904084008047e-05,-1.622167802866644e-05,2.8282371823489222e-05,2.0686358548649028e-05,99870.8178032927,0.07728669180828118,0.24396219927961335,-7.685970665375063e-15,-8.28503932126523e-15,3.608224830031759e-15,0.06659416907907137,-0.03736263736263736,False,103605.10977163605
2025-02-25,-0.00037553666668842494,-0.00033908776861177266,2.6423054270640456e-05,1.0025843806011822e-05,99833.3126492754,0.07236640258885443,0.29165226449195747,-9.18925947542166e-16,-8.049116928532385e-16,5.828670879282072e-16,0.05971052325783796,0.3538461538461538,False,109098.80398100156
2025-02-26,-0.00033338645839061694,-0.00029999394664463917,2.140680224630826e-05,1.1985709499669519e-05,99800.02957474184,0.058697991127289614,0.3504258085059435,-4.065765173973948e-15,-4.3021142204224816e-15,1.9984014443252818e-15,0.06327271443288074,-0.12967032967032965,False,102203.48806382937
2025-02-27,4.282596868852088e-06,7.218847336333286e-05,5.3504815870948676e-05,1.4401060623532095e-05,99800.45697803602,0.1429856790713279,0.34654934998411274,7.785068695450446e-16,1.4988010832439613e-15,1.3877787807814457e-15,0.09430267954601972,-0.2351648351648352,False,100566.57056769294
2025-02-28,0.0001105810009623621,0.00017771665822179054,5.289390315049235e-05,1.4241754108936107e-05,99811.49301246514,0.14234091770950708,0.40187009149798125,-2.0067125763329633e-15,-2.345346139520643e-15,1.762479051592436e-15,0.07278348536682366,0.2087912087912088,False,103074.58323877883
2025-03-03,-0.0005982972873430546,-0.0005078519598218699,4.0899699802255236e-05,4.9545627718929435e-05,99751.77606695013,0.10900409738983544,0.3413062329778581,-1.1524524134485654e-15,-2.0122792321330962e-16,6.38378239159465e-16,0.07526697103056446,0.23076923076923075,False,105377.20004469062
2025-03-04,0.0003378204997571123,0.0003924092115993663,4.056242829521876e-05,1.4026283547035312e-05,99785.47426179273,0.10911473132731869,0.44778617285406214,2.284887823600023e-16,-3.191891195797325e-15,7.327471962526033e-15,0.08598297307906964,-0.059340659340659345,False,101721.85285504958
2025-03-05,-0.00012605930926392117,-9.511989973336565e-05,1.2537238043402293e-05,1.840217148715323e-05,99772.89537383271,0.034647741682730944,0.41806410627066126,6.078597172349105e-16,5.689893001203927e-16,1.8041124150158794e-16,0.08353514623117023,-0.1252747252747253,False,118715.17881861948
2025-03-06,-0.0006654938639376032,-0.0006019142388987136,4.639890834283496e-05,1.718071669605455e-05,99706.49712417414,0.12334442501266965,0.37515283451567105,-2.608049892112878e-15,-3.670674875166924e-15,5.863365348801608e-15,0.09618111657802153,0.49890109890109896,False,99765.60697396629
2025-03-07,4.1459342571696376e-05,7.734607874715216e-05,2.0469496400839067e-05,1.5417239774616725e-05,99710.63088999504,0.05477388299399784,0.34943444807625357,2.0682088746614453e-14,2.2034457591857404e-14,1.1206747335679168e-14,0.09993688208857199,-0.18681318681318684,False,174658.29150913755
2025-03-10,-0.000162838679222059,1.3275661120421923e-05,0.0001330333809906166,4.3080959351864335e-05,99694.39414255651,0.3457010425993831,0.0,0.0,0.0,0.0,0.0,0.24395604395604395,True,21575.025819168106
2025-03-11,-4.279650930017743e-05,0.0,4.279650930017743e-05,0.0,99690.12757049041,0.11255474919468435,0.1125595663512125,6.193548266369458e-15,6.293576770843856e-15,2.4494295480792516e-15,0.04200179753031864,-0.4021978021978022,False,103131.09964285712
2025-03-12,-9.128883115330934e-05,-6.011396241915627e-05,2.6549133130678837e-05,4.625735603474232e-06,99681.02697526698,0.0725364831867056,0.1273254606416226,-6.943372459496805e-15,-6.591949208711867e-15,1.9637069748057456e-15,0.04211084394171645,-0.12087912087912088,False,105638.89443609268
