date,net_return,gross_return,transaction_cost,borrow_cost,nav,turnover,gross_exposure,net_exposure,beta_exposure,max_group_exposure,max_weight,rank_ic,risk_liquidation,capacity_proxy_nav
2025-01-02,-3.477848118384671e-05,0.0,3.477848118384671e-05,0.0,99996.52215188161,0.09354059273465899,0.09354384604754863,1.9164154947290362e-15,2.435551760271437e-15,1.4675760606763788e-15,0.02400083471257845,0.13186813186813187,False,105918.94352593904
2025-01-03,4.33242502312244e-05,8.328532875150783e-05,3.611681087449384e-05,3.844267645789591e-06,100000.85442622956,0.09707847849104656,0.002111252981976437,-1.7840970376639404e-15,-1.648637823481458e-15,3.8754091201032052e-16,0.0005407616962671341,0.19230769230769232,False,103790.43794114767
2025-01-06,-3.945575807201063e-05,-1.3559290878829378e-06,3.783953752059613e-05,2.602914635315615e-07,99996.90881671033,0.10158105819729445,0.10369537371659117,3.6754915545524475e-15,1.2698175844150228e-15,1.7208456881689926e-15,0.026398519974729848,0.09890109890109891,False,103699.97603724006
2025-01-07,7.115440378382788e-05,0.0001131463920583261,3.773053456011792e-05,4.261453714380308e-06,100004.02403713742,0.10122742559405123,0.20344515296520221,6.506474196656143e-15,5.093148125467906e-15,1.702561089861307e-15,0.05086941060533693,-0.17032967032967034,False,100227.805398727
2025-01-08,0.0001382365077480094,0.00018407264361607726,3.7475376157169414e-05,8.360759710898453e-06,100017.84824418106,0.10048984074144048,0.3040801281924145,2.3197717755778826e-14,2.2870594307278225e-14,5.790831189779714e-15,0.0766250263528475,-0.22527472527472525,False,101181.69552143625
2025-01-10,-0.00037451229840199075,-0.00030882547459247603,4.069393656082501e-05,2.4992887248689687e-05,99980.39032995391,0.10908943160830592,0.18831611857016933,-2.0879641804252475e-16,-2.3592239273284576e-16,7.632783294297951e-17,0.049360972836973424,-0.14285714285714285,False,102494.43695118063
2025-01-13,0.00022158000992364012,0.00028302430700661576,3.822724136884518e-05,2.321705571413049e-05,100002.5439858354,0.10245103469972831,0.08596961828740411,5.703812661440487e-16,2.0122792321330962e-16,2.0122792321330962e-16,0.02261871988589137,-0.5604395604395606,False,102896.56626080294
2025-01-14,-9.413252271675493e-05,-5.591656942348582e-05,3.468295528145801e-05,3.5329980118111043e-06,99993.13049409192,0.09324060552330661,0.006694189734547358,5.208444659182877e-16,5.091413401991929e-16,2.671474153004283e-16,0.001763539781633654,-0.21428571428571427,False,109634.81998481558
2025-01-15,-3.135268911018394e-05,6.55325504078646e-06,3.76308404632493e-05,2.751036877211029e-07,99989.99544055838,0.1009390118614214,0.09415923399523177,-1.3131202706802914e-15,-1.0824674490095276e-15,7.204684836872137e-16,0.024684184369125475,-0.005494505494505494,False,102791.33954998056
2025-01-16,6.068356262229713e-06,4.941836448766172e-05,3.948045066398407e-05,3.869557561447935e-06,99990.60221547337,0.10571737323880405,0.011002390505360175,4.154334662404533e-15,1.8067145002298446e-15,1.7530375679323757e-15,0.0028519375458161073,-0.2582417582417582,False,101130.16331911042
2025-01-17,-3.4374322918447156e-05,3.7512825253898258e-06,3.76734524093703e-05,4.5215303446668586e-07,99987.165106224,0.10091149011676993,0.0898192077011906,-1.1701375207235803e-15,-6.869504964868156e-16,1.4281631445079412e-15,0.02382508221336659,-0.10989010989010989,False,103449.8250812557
2025-01-21,-3.173537355663926e-06,4.7011196240798115e-05,3.541993233051271e-05,1.4764801265949334e-05,99986.84779322044,0.09498451363386266,0.18591702803938617,7.071522724360096e-15,6.1201044232461754e-15,1.5996638275607511e-15,0.05016430398319824,0.24175824175824176,False,105566.25239013354
2025-01-22,6.611761895532408e-05,0.00010739034931577876,3.3632304550617194e-05,7.640425809837497e-06,99993.45868552338,0.09024521943981204,0.0962848491283399,1.4570868058737018e-17,-6.938893903907228e-18,7.632783294297951e-17,0.025347197123115995,0.03846153846153846,False,109506.28922698929
2025-01-23,3.5010312396654244e-06,4.6654710248602584e-05,3.919676740092319e-05,3.956911608013968e-06,99993.808765746,0.10484040222786332,0.008131194914067101,-2.5180600987507687e-15,-2.419939248987646e-15,9.600989383939496e-16,0.002141071115528176,0.12637362637362637,False,104992.05569654003
2025-01-24,-3.44107814933111e-05,3.9668601087482314e-06,3.804348290696058e-05,3.3415869509875144e-07,99990.36790064187,0.10181324114926736,0.10992027708507134,2.2686571427328128e-15,2.157996004115148e-15,8.187894806610529e-16,0.02956696956801452,0.14835164835164835,False,106205.6941787601
2025-01-27,-0.00010783736297691894,-5.686666371193197e-05,3.7418884281896256e-05,1.3551814983090706e-05,99979.58520304436,0.10010672943125042,0.20763863707134347,-4.60499426560652e-16,-7.494005416219807e-16,2.5516661249195044e-16,0.05590634233708391,0.5879120879120878,False,104464.81312297205
2025-01-28,0.00027239470992919304,0.00032506810949445037,4.414030489109253e-05,8.53309467416482e-06,100006.81911315459,0.11707763689987986,0.3267008923825783,-6.642613967532289e-14,-6.042388811522414e-14,1.8600599238384823e-14,0.08673541888112504,-0.3626373626373627,False,100219.57026531729
