symbol,decision_date,research_weight,approved_weight,status
XLE,2026-09-18,-0.10000000000000002,0.0,REJECTED_RESEARCH_ONLY_CASH
VDE,2026-09-18,0.09999999999999935,0.0,REJECTED_RESEARCH_ONLY_CASH
XLF,2026-09-18,-0.00460423669536078,0.0,REJECTED_RESEARCH_ONLY_CASH
VFH,2026-09-18,0.004604236695360808,0.0,REJECTED_RESEARCH_ONLY_CASH
XLP,2026-09-18,-4.752270980090074e-17,0.0,REJECTED_RESEARCH_ONLY_CASH
VDC,2026-09-18,0.0,0.0,REJECTED_RESEARCH_ONLY_CASH
XLV,2026-09-18,-0.05219483369767396,0.0,REJECTED_RESEARCH_ONLY_CASH
VHT,2026-09-18,0.05219483369767404,0.0,REJECTED_RESEARCH_ONLY_CASH
XLI,2026-09-18,2.0909992312396326e-16,0.0,REJECTED_RESEARCH_ONLY_CASH
VIS,2026-09-18,0.0,0.0,REJECTED_RESEARCH_ONLY_CASH
XLK,2026-09-18,0.042848789908505866,0.0,REJECTED_RESEARCH_ONLY_CASH
VGT,2026-09-18,-0.04284878990850476,0.0,REJECTED_RESEARCH_ONLY_CASH
XLY,2026-09-18,4.752270980090074e-16,0.0,REJECTED_RESEARCH_ONLY_CASH
VCR,2026-09-18,0.0,0.0,REJECTED_RESEARCH_ONLY_CASH
XLU,2026-09-18,2.851362588054044e-17,0.0,REJECTED_RESEARCH_ONLY_CASH
VPU,2026-09-18,0.0,0.0,REJECTED_RESEARCH_ONLY_CASH
XLB,2026-09-18,7.603633568144118e-17,0.0,REJECTED_RESEARCH_ONLY_CASH
VAW,2026-09-18,0.0,0.0,REJECTED_RESEARCH_ONLY_CASH
XLRE,2026-09-18,0.03305679053280111,0.0,REJECTED_RESEARCH_ONLY_CASH
VNQ,2026-09-18,-0.03305679053280082,0.0,REJECTED_RESEARCH_ONLY_CASH
XLC,2026-09-18,0.0638538826032593,0.0,REJECTED_RESEARCH_ONLY_CASH
VOX,2026-09-18,-0.06385388260325851,0.0,REJECTED_RESEARCH_ONLY_CASH
