date,net_return,gross_return,transaction_cost,borrow_cost,nav,turnover,gross_exposure,net_exposure,beta_exposure,max_group_exposure,max_weight,rank_ic,risk_liquidation,capacity_proxy_nav
2018-01-02,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,
2018-01-03,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,
2018-01-04,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,
2018-01-05,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,
2018-01-08,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,
2018-01-09,-0.0001720470786546015,0.0,0.0001720470786546015,0.0,99982.79529213454,0.48574430348398273,0.48582788875297167,-1.517835789462202e-14,-1.4876988529977098e-14,4.260480856999038e-15,0.05000860383419728,0.04935064935064935,False,369800.663568958
2018-01-10,0.000130822495481716,0.0003262019284246351,0.00017541390326813883,1.996552967478028e-05,99995.8752909199,0.49362260380601514,0.7988944432773953,1.3372326573185937e-15,2.3037127760972e-15,3.4833247397614286e-15,0.08156447475145638,0.06103896103896104,False,229642.00930632759
2018-01-11,-1.945642943764692e-05,0.0001884457591479631,0.00017507091009475822,3.28312784908518e-05,99993.92972822824,0.49341432091079623,0.5427018223916047,1.9266521126470357e-15,1.8457457784393227e-15,6.938893903907228e-16,0.06983443638026743,-0.033766233766233764,False,372005.8627226671
2018-01-12,-0.0002805017476564675,-8.197315021520445e-05,0.00017622578282243005,2.2302814618832992e-05,99965.88125618442,0.49585318932511613,0.533316009555216,2.20884056691564e-15,2.040034807748725e-15,6.314393452555578e-16,0.056222046450434424,0.11428571428571428,False,305694.67315184925
2018-01-16,-3.8535079442734546e-05,0.00022516210594283276,0.00017602880025320341,8.76683851323639e-05,99962.02906300865,0.49543550291846195,0.7206370632492349,5.294266934790046e-15,5.280498260873401e-15,1.2648302544215895e-15,0.09728379447455422,-0.044155844155844164,False,219551.91849645405
2018-01-17,-0.0003351998949359856,-0.00013353579861582487,0.00017204887454279512,2.9615221777365593e-05,99928.52180136913,0.48519508734443295,0.570243388756169,-2.85916129713219e-15,-2.5951463200613034e-15,1.1622647289044608e-15,0.054200676346953726,0.022077922077922082,False,311399.18898971187
