source,symbol,rows,first,last
Yahoo,SPY,2441,2017-01-03,2026-09-18
Yahoo,VAW,2441,2017-01-03,2026-09-18
Yahoo,VCR,2441,2017-01-03,2026-09-18
Yahoo,VDC,2441,2017-01-03,2026-09-18
Yahoo,VDE,2441,2017-01-03,2026-09-18
Yahoo,VFH,2441,2017-01-03,2026-09-18
Yahoo,VGT,2441,2017-01-03,2026-09-18
Yahoo,VHT,2441,2017-01-03,2026-09-18
Yahoo,VIS,2441,2017-01-03,2026-09-18
Yahoo,VNQ,2441,2017-01-03,2026-09-18
Yahoo,VOX,2441,2017-01-03,2026-09-18
Yahoo,VPU,2441,2017-01-03,2026-09-18
Yahoo,XLB,2441,2017-01-03,2026-09-18
Yahoo,XLC,2074,2018-06-19,2026-09-18
Yahoo,XLE,2441,2017-01-03,2026-09-18
Yahoo,XLF,2441,2017-01-03,2026-09-18
Yahoo,XLI,2441,2017-01-03,2026-09-18
Yahoo,XLK,2441,2017-01-03,2026-09-18
Yahoo,XLP,2441,2017-01-03,2026-09-18
Yahoo,XLRE,2441,2017-01-03,2026-09-18
Yahoo,XLU,2441,2017-01-03,2026-09-18
Yahoo,XLV,2441,2017-01-03,2026-09-18
Yahoo,XLY,2441,2017-01-03,2026-09-18
Alpaca IEX,SPY,1546,2018-11-01,2026-09-18
Alpaca IEX,VAW,1523,2020-07-27,2026-09-18
Alpaca IEX,VCR,1529,2020-07-27,2026-09-18
Alpaca IEX,VDC,1466,2020-07-29,2026-09-18
Alpaca IEX,VDE,1541,2020-07-27,2026-09-18
Alpaca IEX,VFH,1543,2020-07-27,2026-09-18
Alpaca IEX,VGT,1544,2020-07-27,2026-09-18
Alpaca IEX,VHT,1527,2020-07-29,2026-09-18
Alpaca IEX,VIS,1529,2020-07-27,2026-09-18
Alpaca IEX,VNQ,1545,2020-07-27,2026-09-18
Alpaca IEX,VOX,1525,2020-07-27,2026-09-18
Alpaca IEX,VPU,1509,2020-07-27,2026-09-18
Alpaca IEX,XLB,1545,2020-07-27,2026-09-18
Alpaca IEX,XLC,1545,2020-07-27,2026-09-18
Alpaca IEX,XLE,1545,2020-07-27,2026-09-18
Alpaca IEX,XLF,1545,2020-07-27,2026-09-18
Alpaca IEX,XLI,1545,2020-07-27,2026-09-18
Alpaca IEX,XLK,1545,2020-07-27,2026-09-18
Alpaca IEX,XLP,1545,2020-07-27,2026-09-18
Alpaca IEX,XLRE,1545,2020-07-27,2026-09-18
Alpaca IEX,XLU,1545,2020-07-27,2026-09-18
Alpaca IEX,XLV,1545,2020-07-27,2026-09-18
Alpaca IEX,XLY,1545,2020-07-27,2026-09-18
